Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Arsenal,2021-2022,1,Aaron Ramsdale,,England,G,79
Arsenal,2022-2023,1,Aaron Ramsdale,,England,G,82
Arsenal,2011-2012,16,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,79
Arsenal,2012-2013,16,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,77
Arsenal,2013-2014,16,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,82
Arsenal,2014-2015,16,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,82
Arsenal,2015-2016,16,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,82
Arsenal,2016-2017,8,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,83
Arsenal,2017-2018,8,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,83
Arsenal,2018-2019,8,Aaron Ramsey,,Wales,MOC|MC|MDC|AD,82
Arsenal,2009-2010,2,Abou Diaby,,France,MOC|MC|MDC,78
Arsenal,2010-2011,2,Abou Diaby,,France,MOC|MC|MDC,79
Arsenal,2011-2012,2,Abou Diaby,,France,MOC|MC|MDC,76
Arsenal,2012-2013,2,Abou Diaby,,France,MOC|MC|MDC,77
Arsenal,2013-2014,24,Abou Diaby,,France,MOC|MC|MDC,76
Arsenal,2021-2022,41,Albert Sambi Lokonga,,Belgium,MC,73
Arsenal,2018-2019,27,Alex Iwobi,,Nigeria,AG,77
Arsenal,2012-2013,15,Alex Oxlade-Chamberlain,,England,AD|MD,77
Arsenal,2013-2014,15,Alex Oxlade-Chamberlain,,England,AD|MD,78
Arsenal,2014-2015,15,Alex Oxlade-Chamberlain,,England,AD|MD,78
Arsenal,2015-2016,15,Alex Oxlade-Chamberlain,,England,AD|MD,78
Arsenal,2016-2017,15,Alex Oxlade-Chamberlain,,England,AD|MD,80
Arsenal,2017-2018,15,Alex Oxlade-Chamberlain,,England,AD|MD,81
Arsenal,2017-2018,9,Alexandre Lacazette,,France,BU|AG|MOC,84
Arsenal,2018-2019,9,Alexandre Lacazette,,France,BU|AG|MOC,84
Arsenal,2019-2020,9,Alexandre Lacazette,,France,BU|AG|MOC,84
Arsenal,2020-2021,9,Alexandre Lacazette,,France,BU|AG|MOC,82
Arsenal,2021-2022,9,Alexandre Lacazette,,France,BU|AG|MOC,80
Arsenal,2009-2010,17,Alexandre Song,,Cameroon,MC|MDC|DC|MOC,79
Arsenal,2010-2011,17,Alexandre Song,,Cameroon,MC|MDC|DC|MOC,82
Arsenal,2011-2012,17,Alexandre Song,,Cameroon,MC|MDC|DC|MOC,82
Arsenal,2014-2015,17,Alexis Sanchez,,Chile,AD|MD|AG,85
Arsenal,2015-2016,17,Alexis Sanchez,,Chile,AD|MD|AG,86
Arsenal,2016-2017,7,Alexis Sanchez,,Chile,AD|MD|AG,88
Arsenal,2017-2018,7,Alexis Sanchez,,Chile,AD|MD|AG,88
Arsenal,2005-2006,13,Aliaksandr Hleb,,Belarus,MOC|MD|MC|MG|AD,87
Arsenal,2006-2007,13,Aliaksandr Hleb,,Belarus,MOC|MD|MC|MG|AD,79
Arsenal,2007-2008,13,Aliaksandr Hleb,,Belarus,MOC|MD|MC|MG|AD,81
Arsenal,2009-2010,1,Manuel Almunia,,Spain,G,81
Arsenal,2009-2010,23,Andreï Archavine,,Russia,AD|AG,85
Arsenal,2010-2011,23,Andreï Archavine,,Russia,AD|AG,86
Arsenal,2011-2012,23,Andreï Archavine,,Russia,AD|AG,81
Arsenal,2012-2013,23,Andreï Archavine,,Russia,AD|AG,79
Arsenal,2004-2005,3,Ashley Cole,,England,DG|MG|DC,88
Arsenal,2005-2006,3,Ashley Cole,,England,DG|MG|DC,85
Arsenal,2006-2007,3,Bacary Sagna,,France,DD|DG|DC,82
Arsenal,2008-2009,3,Bacary Sagna,,France,DD|DG|DC,82
Arsenal,2009-2010,3,Bacary Sagna,,France,DD|DG|DC,83
Arsenal,2010-2011,3,Bacary Sagna,,France,DD|DG|DC,82
Arsenal,2011-2012,3,Bacary Sagna,,France,DD|DG|DC,83
Arsenal,2012-2013,3,Bacary Sagna,,France,DD|DG|DC,80
Arsenal,2013-2014,3,Bacary Sagna,,France,DD|DG|DC,80
Arsenal,2007-2008,3,Bacary Sagna,,France,DD|DG|DC,76
Arsenal,2020-2021,4,Ben White,,England,DC|DD,76
Arsenal,2021-2022,4,Ben White,,England,DC|DD,78
Arsenal,2022-2023,4,Ben White,,England,DC|DD,80
Arsenal,2023-2024,4,Ben White,,England,DC|DD,82
Arsenal,2024-2025,4,Ben White,,England,DC|DD,82
Arsenal,2019-2020,1,Bernd Leno,,Germany,G,85
Arsenal,2020-2021,1,Bernd Leno,,Germany,G,84
Arsenal,2020-2021,7,Bukayo Saka,,England,AD|MD|BU,74
Arsenal,2021-2022,7,Bukayo Saka,,England,AD|MD|BU,79
Arsenal,2022-2023,7,Bukayo Saka,,England,AD|MD|BU,83
Arsenal,2023-2024,7,Bukayo Saka,,England,AD|MD|BU,87
Arsenal,2024-2025,7,Bukayo Saka,,England,AD|MD|BU,88
Arsenal,2025-2026,7,Bukayo Saka,,England,AD|MD|BU,87
Arsenal,2008-2009,12,Carlos Vela,,Mexico,AD|MD|BU,76
Arsenal,2025-2026,15,Christhian Mosquera,,Spain,DC,77
Arsenal,2019-2020,8,Dani Ceballos,,Spain,MDC|MC|MOC,81
Arsenal,2020-2021,8,Dani Ceballos,,Spain,MDC|MC|MOC,79
Arsenal,2014-2015,23,Danny Welbeck,,England,BU|AG|AD|MOC,78
Arsenal,2015-2016,23,Danny Welbeck,,England,BU|AG|AD|MOC,79
Arsenal,2016-2017,23,Danny Welbeck,,England,BU|AG|AD|MOC,80
Arsenal,2018-2019,23,Danny Welbeck,,England,BU|AG|AD|MOC,77
Arsenal,2019-2020,23,David Luiz,,Brazil,DC|MDC|DD,81
Arsenal,2014-2015,13,David Ospina,,Colombia,G,77
Arsenal,2015-2016,13,David Ospina,,Colombia,G,78
Arsenal,2016-2017,13,David Ospina,,Colombia,G,79
Arsenal,2023-2024,1,David Raya,,Spain,G,82
Arsenal,2024-2025,1,David Raya,,Spain,G,84
Arsenal,2025-2026,1,David Raya,,Spain,G,87
Arsenal,2023-2024,34,Declan Rice,,England,MDC|MC|DC|MOC,84
Arsenal,2024-2025,34,Declan Rice,,England,MDC|MC|DC|MOC,87
Arsenal,2025-2026,34,Declan Rice,,England,MDC|MC|DC|MOC,88
Arsenal,2007-2008,15,Denílson Pereira Neves,Denilson,Brazil,MDC|MC|MOC,75
Arsenal,2008-2009,15,Denílson Pereira Neves,Denilson,Brazil,MDC|MC|MOC,76
Arsenal,2009-2010,15,Denílson Pereira Neves,Denilson,Brazil,MDC|MC|MOC,78
Arsenal,2010-2011,15,Denílson Pereira Neves,Denilson,Brazil,MDC|MC|MOC,79
Arsenal,2004-2005,10,Dennis Bergkamp,,Netherlands,MOC|BU,90
Arsenal,2005-2006,10,Dennis Bergkamp,,Netherlands,MOC|BU,88
Arsenal,2021-2022,14,Eddie Nketiah,,England,BU,71
Arsenal,2004-2005,17,Eduardo César Daude Gaspar,Edu,Brazil,MC|MDC|MOC,83
Arsenal,2007-2008,9,Eduardo Alves da Silva,Eduardo,Croatia,BU|MOC|AD,82
Arsenal,2008-2009,9,Eduardo Alves da Silva,Eduardo,Croatia,BU|MOC|AD,83
Arsenal,2009-2010,9,Eduardo Alves da Silva,Eduardo,Croatia,BU|MOC|AD,82
Arsenal,2020-2021,11,Emile Smith Rowe,,England,MOC|MG|MC|AG,72
Arsenal,2021-2022,25,Emile Smith Rowe,,England,MOC|MG|MC|AG,78
Arsenal,2006-2007,25,Emmanuel Adebayor,,Togo,BU|AD|MOC,78
Arsenal,2007-2008,25,Emmanuel Adebayor,,Togo,BU|AD|MOC,78
Arsenal,2008-2009,25,Emmanuel Adebayor,,Togo,BU|AD|MOC,86
Arsenal,2006-2007,27,Emmanuel Eboue,,Ivory Coast,DD|MC|MD,78
Arsenal,2007-2008,27,Emmanuel Eboue,,Ivory Coast,DD|MC|MD,78
Arsenal,2008-2009,27,Emmanuel Eboue,,Ivory Coast,DD|MC|MD,78
Arsenal,2009-2010,27,Emmanuel Eboue,,Ivory Coast,DD|MC|MD,78
Arsenal,2010-2011,27,Emmanuel Eboue,,Ivory Coast,DD|MC|MD,77
Arsenal,2022-2023,21,Fabio Vieira,,Portugal,MOC|MC,76
Arsenal,2004-2005,15,Francesc Fabregas,,Spain,MOC|MC|MDC,72
Arsenal,2005-2006,15,Francesc Fabregas,,Spain,MOC|MC|MDC,79
Arsenal,2006-2007,4,Francesc Fabregas,,Spain,MOC|MC|MDC,85
Arsenal,2007-2008,4,Francesc Fabregas,,Spain,MOC|MC|MDC,85
Arsenal,2008-2009,4,Francesc Fabregas,,Spain,MOC|MC|MDC,88
Arsenal,2009-2010,4,Francesc Fabregas,,Spain,MOC|MC|MDC,87
Arsenal,2010-2011,4,Francesc Fabregas,,Spain,MOC|MC|MDC,86
Arsenal,2015-2016,34,Francis Coquelin,,France,MD|MDC|MC,79
Arsenal,2005-2006,8,Freddie Ljungberg,,Sweden,MD|MDC|MC|AD|MG|MOC,84
Arsenal,2006-2007,8,Freddie Ljungberg,,Sweden,MD|MDC|MC|AD|MG|MOC,83
Arsenal,2004-2005,8,Freddie Ljungberg,,Sweden,MD|MDC|MC|AD|MG|MOC,89
Arsenal,2022-2023,9,Gabriel Jesus,,Brazil,BU|AD|AG|MOC,83
Arsenal,2023-2024,9,Gabriel Jesus,,Brazil,BU|AD|AG|MOC,82
Arsenal,2020-2021,6,Gabriel Magalhaes,,Brazil,DC,78
Arsenal,2021-2022,6,Gabriel Magalhaes,,Brazil,DC,79
Arsenal,2022-2023,6,Gabriel Magalhaes,,Brazil,DC,81
Arsenal,2023-2024,6,Gabriel Magalhaes,,Brazil,DC,83
Arsenal,2024-2025,6,Gabriel Magalhaes,,Brazil,DC,85
Arsenal,2025-2026,6,Gabriel Magalhaes,,Brazil,DC,89
Arsenal,2021-2022,35,Gabriel Martinelli,,Brazil,MG|AG|AD|MD|BU,74
Arsenal,2022-2023,11,Gabriel Martinelli,,Brazil,MG|AG|AD|MD|BU,81
Arsenal,2023-2024,11,Gabriel Martinelli,,Brazil,MG|AG|AD|MD|BU,83
Arsenal,2024-2025,11,Gabriel Martinelli,,Brazil,MG|AG|AD|MD|BU,82
Arsenal,2025-2026,11,Gabriel Martinelli,,Brazil,MG|AG|AD|MD|BU,81
Arsenal,2014-2015,5,Gabriel Paulista,,Brazil,DG|DC|DD,77
Arsenal,2015-2016,5,Gabriel Paulista,,Brazil,DG|DC|DD,78
Arsenal,2004-2005,22,Gael Clichy,,France,DG|DC,74
Arsenal,2006-2007,22,Gael Clichy,,France,DG|DC,79
Arsenal,2007-2008,22,Gael Clichy,,France,DG|DC,77
Arsenal,2008-2009,22,Gael Clichy,,France,DG|DC,83
Arsenal,2009-2010,22,Gael Clichy,,France,DG|DC,83
Arsenal,2010-2011,22,Gael Clichy,,France,DG|DC,81
Arsenal,2011-2012,27,Gervais Yao Kouassi,Gervinho,Ivory Coast,AG|AD|BU|MG,82
Arsenal,2012-2013,27,Gervais Yao Kouassi,Gervinho,Ivory Coast,AG|AD|BU|MG,80
Arsenal,2004-2005,19,Gilberto Silva,,Brazil,MC|MDC,89
Arsenal,2005-2006,19,Gilberto Silva,,Brazil,MC|MDC,80
Arsenal,2006-2007,19,Gilberto Silva,,Brazil,MC|MDC,81
Arsenal,2007-2008,19,Gilberto Silva,,Brazil,MC|MDC,82
Arsenal,2016-2017,29,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,82
Arsenal,2017-2018,29,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,82
Arsenal,2018-2019,29,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,82
Arsenal,2019-2020,34,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,80
Arsenal,2020-2021,34,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,81
Arsenal,2021-2022,34,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,81
Arsenal,2022-2023,34,Granit Xhaka,,Switzerland,MDC|MC|MOC|DC,82
Arsenal,2016-2017,24,Hector Bellerin,,Spain,DD|MD|DG,80
Arsenal,2017-2018,24,Hector Bellerin,,Spain,DD|MD|DG,80
Arsenal,2018-2019,24,Hector Bellerin,,Spain,DD|MD|DG,79
Arsenal,2019-2020,2,Hector Bellerin,,Spain,DD|MD|DG,79
Arsenal,2020-2021,2,Hector Bellerin,,Spain,DD|MD|DG,78
Arsenal,2017-2018,30,Henrikh Mkhitaryan,,Armenia,MOC|AD|MD|MC|AG|MG,84
Arsenal,2018-2019,7,Henrikh Mkhitaryan,,Armenia,MOC|AD|MD|MC|AG|MG,84
Arsenal,2019-2020,7,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,81
Arsenal,2011-2012,19,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,82
Arsenal,2012-2013,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,82
Arsenal,2013-2014,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,82
Arsenal,2014-2015,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,81
Arsenal,2015-2016,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,81
Arsenal,2016-2017,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,82
Arsenal,2017-2018,10,Jack Wilshere,,England,MOC|AD|MD|MC|MDC,81
Arsenal,2023-2024,15,Jakub Kiwior,,Poland,DC|DG|MDC,77
Arsenal,2024-2025,15,Jakub Kiwior,,Poland,DC|DG|MDC,78
Arsenal,2004-2005,1,Jens Lehmann,,Germany,G,87
Arsenal,2005-2006,1,Jens Lehmann,,Germany,G,84
Arsenal,2006-2007,1,Jens Lehmann,,Germany,G,87
Arsenal,2007-2008,1,Jens Lehmann,,Germany,G,83
Arsenal,2004-2005,30,Jeremie Aliadiere,,France,BU,76
Arsenal,2004-2005,21,Jermaine Pennant,,England,MD,77
Arsenal,2009-2010,20,Johan Djourou,,Switzerland,DC|DD|MDC,78
Arsenal,2010-2011,20,Johan Djourou,,Switzerland,DC|DD|MDC,78
Arsenal,2011-2012,20,Johan Djourou,,Switzerland,DC|DD|MDC,76
Arsenal,2022-2023,20,Jorge Luiz Frello Filho,Jorginho,Italy,MDC|MC|MOC,82
Arsenal,2023-2024,20,Jorge Luiz Frello Filho,Jorginho,Italy,MDC|MC|MOC,81
Arsenal,2024-2025,20,Jorge Luiz Frello Filho,Jorginho,Italy,MDC|MC|MOC,79
Arsenal,2025-2026,20,Jorge Luiz Frello Filho,Jorginho,Italy,MDC|MC|MOC,79
Arsenal,2004-2005,9,Jose Antonio Reyes,,Spain,BU|AG|AD|MOC,88
Arsenal,2005-2006,9,Jose Antonio Reyes,,Spain,BU|AG|AD|MOC,86
Arsenal,2006-2007,9,Jose Antonio Reyes,,Spain,BU|AG|AD|MOC,82
Arsenal,2025-2026,2,Jurrien Timber,,Netherlands,DD|DC|DG,84
Arsenal,2024-2025,9,Kai Havertz,,Germany,BU|MOC|MC|AG,83
Arsenal,2025-2026,29,Kai Havertz,,Germany,BU|MOC|MC|AG,82
Arsenal,2012-2013,28,Kieran Gibbs,,England,DG|MG|DC,78
Arsenal,2013-2014,28,Kieran Gibbs,,England,DG|MG|DC,78
Arsenal,2014-2015,3,Kieran Gibbs,,England,DG|MG|DC,77
Arsenal,2015-2016,3,Kieran Gibbs,,England,DG|MG|DC,79
Arsenal,2019-2020,3,Kieran Tierney,,Scotland,DG|DC,77
Arsenal,2020-2021,3,Kieran Tierney,,Scotland,DG|DC,79
Arsenal,2021-2022,3,Kieran Tierney,,Scotland,DG|DC,80
Arsenal,2022-2023,3,Kieran Tierney,,Scotland,DG|DC,80
Arsenal,2023-2024,3,Kieran Tierney,,Scotland,DG|DC,78
