Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Atlético Madrid,2004-2005,9,Fernando Torres,,Spain,BU,87
Atlético Madrid,2004-2005,22,Pablo García,Pablo,Uruguay,DC,85
Atlético Madrid,2004-2005,18,Ariel Ibagaza,,Argentina,MOC|MC,84
Atlético Madrid,2004-2005,21,Luis Perea,,Colombia,DD|DC,83
Atlético Madrid,2004-2005,23,Peter Luccin,,France,MDC|MC,81
Atlético Madrid,2004-2005,12,Sergi Barjuan,Sergi,Spain,DG,81
Atlético Madrid,2004-2005,19,Salva Ballesta,Salva,Spain,BU,81
Atlético Madrid,2004-2005,5,José Antonio García Calvo,,Spain,DC,81
Atlético Madrid,2004-2005,8,Kizito Musampa,,Netherlands,MG,80
Atlético Madrid,2004-2005,14,Diego Simeone,,Argentina,MDC|MC,79
Atlético Madrid,2004-2005,20,Veljko Paunović,,Serbia,MOC,78
Atlético Madrid,2004-2005,25,Leo Franco,,Argentina,G,77
Atlético Madrid,2004-2005,10,Jorge Otero,Jorge,Spain,MOC,77
Atlético Madrid,2004-2005,15,Roberto Aguilera,Aguilera,Spain,DD,76
Atlético Madrid,2004-2005,2,Javi Velasco,Velasco,Spain,DD,76
Atlético Madrid,2004-2005,1,Sergio Aragoneses,Sergio,Spain,G,75
Atlético Madrid,2004-2005,4,Gonzalo Colsa,,Spain,MDC|MC,75
Atlético Madrid,2004-2005,3,Antonio López,,Spain,DG,75
Atlético Madrid,2004-2005,24,Álvaro Novo,A. Novo,Spain,MD,74
Atlético Madrid,2004-2005,30,Ángel Arizmendi,Arizmendi,Spain,BU,74
Atlético Madrid,2004-2005,17,Fernando Navarro,Nano,Spain,MOC,72
Atlético Madrid,2004-2005,7,Marcelo Sosa,,Uruguay,MDC,72
Atlético Madrid,2004-2005,6,Santi Ruano,Santi,Spain,DC,71
Atlético Madrid,2004-2005,16,Gabriel Fernández Arenas,Gabi,Spain,MC|MDC,66
Atlético Madrid,2005-2006,18,Ariel Ibagaza,,Argentina,MOC|MC,85
Atlético Madrid,2005-2006,13,Mateja Kežman,,Serbia,BU,84
Atlético Madrid,2005-2006,9,Fernando Torres,,Spain,BU,84
Atlético Madrid,2005-2006,12,Martin Petrov,,Bulgaria,MG,83
Atlético Madrid,2005-2006,22,Pablo García,Pablo,Uruguay,DC,83
Atlético Madrid,2005-2006,5,José Antonio García Calvo,,Spain,DC,82
Atlético Madrid,2005-2006,21,Luis Perea,,Colombia,DC|DD,81
Atlético Madrid,2005-2006,23,Peter Luccin,,France,MC|MDC,79
Atlético Madrid,2005-2006,25,Leo Franco,,Argentina,G,78
Atlético Madrid,2005-2006,11,Maxi Rodríguez,,Argentina,AD|MD,77
Atlético Madrid,2005-2006,4,Gonzalo Colsa,,Spain,MDC|MC,77
Atlético Madrid,2005-2006,2,Javi Velasco,Velasco,Spain,DD,76
Atlético Madrid,2005-2006,17,Luciano Galletti,,Argentina,MD,75
Atlético Madrid,2005-2006,3,Antonio López,,Spain,DG,75
Atlético Madrid,2005-2006,24,Álvaro Novo,A. Novo,Spain,MD,75
Atlético Madrid,2005-2006,6,Ángel Arizmendi,,Spain,BU,74
Atlético Madrid,2005-2006,14,Javi Valera,Valera,Spain,DD|MD,74
Atlético Madrid,2005-2006,28,Braulio Nóbrega,Braulio,Spain,BU,73
Atlético Madrid,2005-2006,26,Fernando Molinero,Molinero,Spain,DD,69
Atlético Madrid,2005-2006,15,Manu del Moral,Manu del Moral,Spain,BU,68
Atlético Madrid,2005-2006,10,Gabriel Fernández Arenas,Gabi,Spain,MC|MDC,68
Atlético Madrid,2005-2006,16,Zahínos,Zahínos,Spain,MDC,67
Atlético Madrid,2005-2006,35,Iván Cuéllar,,Spain,G,61
Atlético Madrid,2006-2007,9,Fernando Torres,,Spain,BU,86
Atlético Madrid,2006-2007,22,Pablo García,Pablo,Uruguay,DC,83
Atlético Madrid,2006-2007,6,Costinha,,Portugal,MDC,82
Atlético Madrid,2006-2007,24,Ariel Ibagaza,,Argentina,MOC|MC,82
Atlético Madrid,2006-2007,21,Luis Perea,,Colombia,DC|DD,82
Atlético Madrid,2006-2007,11,Maxi Rodríguez,,Argentina,AD|MD,81
Atlético Madrid,2006-2007,23,Mista,,Spain,AG,81
Atlético Madrid,2006-2007,17,Martin Petrov,,Bulgaria,MG,80
Atlético Madrid,2006-2007,25,Leonardo Franco,Leo Franco,Argentina,G,80
Atlético Madrid,2006-2007,5,Peter Luccin,,France,MC|MDC,79
Atlético Madrid,2006-2007,7,Luciano Galletti,,Argentina,MD,78
Atlético Madrid,2006-2007,14,Zé Castro,,Portugal,DC,77
Atlético Madrid,2006-2007,2,Giourkas Seitaridis,,Greece,DD,76
Atlético Madrid,2006-2007,20,Sergio Agüero,,Argentina,MOC|BU,76
Atlético Madrid,2006-2007,4,Pernía,,Argentina,DG,75
Atlético Madrid,2006-2007,15,Jurado,,Spain,MOC|MG|MD,75
Atlético Madrid,2006-2007,12,Javi Velasco,Velasco,Spain,DD,73
Atlético Madrid,2006-2007,3,Antonio López,,Spain,DG,73
Atlético Madrid,2006-2007,16,Kizito Musampa,,Netherlands,MG,72
Atlético Madrid,2006-2007,1,Roberto Cuéllar,Cuéllar,Spain,G,70
Atlético Madrid,2006-2007,8,Gabriel Fernández Arenas,Gabi,Spain,MDC|MC,70
Atlético Madrid,2006-2007,19,Miguel Ángel Ferrer,Miguel,Spain,MG|AG,67
Atlético Madrid,2006-2007,31,Mario Suárez,,Spain,MC|MDC,66
Atlético Madrid,2007-2008,1,Sergio Sánchez,Falcón,Spain,G,65
Atlético Madrid,2007-2008,2,Giourkas Seitaridis,,Greece,DD,76
Atlético Madrid,2007-2008,3,Antonio López,,Spain,DG,72
Atlético Madrid,2007-2008,4,Pernía,,Argentina,DG,75
Atlético Madrid,2007-2008,5,Peter Luccin,,France,MC|MDC,79
Atlético Madrid,2007-2008,6,Miguel Ángel Ferrer,Miguel,Spain,MG|AG,71
Atlético Madrid,2007-2008,7,Diego Forlán,,Uruguay,BU,84
Atlético Madrid,2007-2008,8,Raúl García,,Spain,MOC|MC|MD|MDC,75
Atlético Madrid,2007-2008,9,Luis García,,Spain,MD,79
Atlético Madrid,2007-2008,10,Sergio Agüero,,Argentina,BU|MOC,82
Atlético Madrid,2007-2008,11,Maxi Rodríguez,,Argentina,MD|AD,81
Atlético Madrid,2007-2008,12,Fabiano Eller,,Brazil,DC,77
Atlético Madrid,2007-2008,13,Christian Abbiati,,Italy,G,82
Atlético Madrid,2007-2008,14,Zé Castro,,Portugal,DC,77
Atlético Madrid,2007-2008,15,Jurado,,Spain,MOC|MG|MD,78
Atlético Madrid,2007-2008,16,Cléber Santana,,Brazil,MOC|MC,77
Atlético Madrid,2007-2008,17,Reyes,José Antonio Reyes,Spain,BU|MG,81
Atlético Madrid,2007-2008,18,Maniche,,Portugal,MC,83
Atlético Madrid,2007-2008,19,Braulio Nóbrega,Braulio,Spain,BU,74
Atlético Madrid,2007-2008,20,Mista,,Spain,AG,79
Atlético Madrid,2007-2008,21,Luis Perea,,Colombia,DC|DD,80
Atlético Madrid,2007-2008,22,Pablo García,Pablo,Uruguay,DC,79
Atlético Madrid,2007-2008,23,Javi Valera,Valera,Spain,MD|DD,71
Atlético Madrid,2007-2008,24,Simão Sabrosa,Simão,Portugal,MG|MOC,82
Atlético Madrid,2007-2008,25,Leonardo Franco,Leo Franco,Argentina,G,79
Atlético Madrid,2008-2009,20,Simão Sabrosa,Simão,Portugal,MG|MOC,84
Atlético Madrid,2008-2009,10,Sergio Agüero,,Argentina,BU|MOC,84
Atlético Madrid,2008-2009,7,Diego Forlán,,Uruguay,BU,83
Atlético Madrid,2008-2009,11,Maxi Rodríguez,,Argentina,MD|AD,82
Atlético Madrid,2008-2009,6,Tomáš Ujfaluši,,Czech Republic,DC|DD,81
Atlético Madrid,2008-2009,1,Grégory Coupet,,France,G,79
Atlético Madrid,2008-2009,18,Maniche,,Portugal,MC,79
Atlético Madrid,2008-2009,14,Florent Sinama Pongolle,,France,BU|MD,79
Atlético Madrid,2008-2009,9,Luis García,,Spain,MD,79
Atlético Madrid,2008-2009,25,Leonardo Franco,Leo Franco,Argentina,G,79
Atlético Madrid,2008-2009,15,John Heitinga,,Netherlands,DD|MDC,78
Atlético Madrid,2008-2009,12,Paulo Assunção,,Brazil,MC|MDC,78
Atlético Madrid,2008-2009,5,Thiago Motta,,Brazil,MDC,77
Atlético Madrid,2008-2009,2,Giourkas Seitaridis,,Greece,DD,77
Atlético Madrid,2008-2009,21,Luis Perea,,Colombia,DC|DD,77
Atlético Madrid,2008-2009,16,Éver Banega,,Argentina,MC|MOC|MDC,77
Atlético Madrid,2008-2009,8,Raúl García,,Spain,MC|MOC|MD|MDC,76
Atlético Madrid,2008-2009,3,Antonio López,,Spain,DG,75
Atlético Madrid,2008-2009,22,Pablo García,Pablo,Uruguay,DC,75
Atlético Madrid,2008-2009,4,Pernía,,Argentina,DG,74
Atlético Madrid,2008-2009,24,Ignacio Camacho,Camacho,Spain,MDC,73
Atlético Madrid,2008-2009,19,Miguel Ángel Ferrer,Miguel,Spain,MG|AG,71
Atlético Madrid,2008-2009,31,Rubén Ramos,,Spain,BU,69
Atlético Madrid,2008-2009,27,Bernabé Barragán,Bernabé,Spain,G,67
Atlético Madrid,2008-2009,29,César Ortiz,César,Spain,DC,66
Atlético Madrid,2008-2009,30,Joshua Cazorla,Joshua,Spain,MOC,66
Atlético Madrid,2009-2010,7,Diego Forlán,,Uruguay,BU,86
Atlético Madrid,2009-2010,20,Simão Sabrosa,Simão,Portugal,MG|MOC,84
Atlético Madrid,2009-2010,11,Maxi Rodríguez,,Argentina,MD|AD,84
Atlético Madrid,2009-2010,10,Sergio Agüero,,Argentina,BU|MOC,84
Atlético Madrid,2009-2010,19,Reyes,José Antonio Reyes,Spain,MG|BU,82
Atlético Madrid,2009-2010,1,Sergio Asenjo,,Spain,G,81
Atlético Madrid,2009-2010,17,Tomáš Ujfaluši,,Czech Republic,DC|DD,80
Atlético Madrid,2009-2010,9,Jurado,,Spain,MOC|MG|MD,80
Atlético Madrid,2009-2010,14,Florent Sinama Pongolle,,France,BU|MD,78
Atlético Madrid,2009-2010,16,Juanito,,Spain,DC,78
Atlético Madrid,2009-2010,12,Paulo Assunção,,Brazil,MC|MDC,78
Atlético Madrid,2009-2010,8,Raúl García,,Spain,MC|MOC|MD|MDC,78
Atlético Madrid,2009-2010,21,Luis Perea,,Colombia,DC|DD,77
Atlético Madrid,2009-2010,22,Pablo Barrios,Pablo,Spain,DC|MDC|MD|MOC,76
Atlético Madrid,2009-2010,3,Antonio López,,Spain,DG,75
Atlético Madrid,2009-2010,23,Cléber Santana,,Brazil,MC|MOC,75
Atlético Madrid,2009-2010,4,Pernía,,Argentina,DG,73
Atlético Madrid,2009-2010,2,Javi Valera,Valera,Spain,DD|MD,73
Atlético Madrid,2009-2010,6,Ignacio Camacho,Camacho,Spain,MDC,73
Atlético Madrid,2009-2010,13,Roberto Jiménez,Roberto,Spain,G,70
Atlético Madrid,2009-2010,24,Leandro Cabrera,,Uruguay,DC,69
Atlético Madrid,2009-2010,18,Álvaro Domínguez,Álvaro,Spain,DC|DG,65
Atlético Madrid,2009-2010,30,Joshua Cazorla,Joshua,Spain,MOC,64
Atlético Madrid,2009-2010,32,Rubén Pérez,,Spain,MDC,60
Atlético Madrid,2009-2010,34,Koke,Koke,Spain,MC|MD|MG|MDC,60
Atlético Madrid,2009-2010,27,Sergio González,Keko,Spain,MD,60
Atlético Madrid,2009-2010,28,Borja Bastón,,Spain,BU,58
Atlético Madrid,2010-2011,7,Diego Forlán,,Uruguay,BU,87
Atlético Madrid,2010-2011,10,Sergio Agüero,,Argentina,BU|MOC,84
Atlético Madrid,2010-2011,20,Simão Sabrosa,Simão,Portugal,MG|MOC,82
Atlético Madrid,2010-2011,19,José Antonio Reyes,Reyes,Spain,MD|AD,82
Atlético Madrid,2010-2011,14,Filipe Luís,,Brazil,DG|MDG|MG,81
Atlético Madrid,2010-2011,15,Diego Godín,,Uruguay,DC,81
Atlético Madrid,2010-2011,17,Tomáš Ujfaluši,,Czech Republic,DD|DC,79
Atlético Madrid,2010-2011,5,Tiago Mendes,Tiago,Portugal,MC|MDC,78
Atlético Madrid,2010-2011,12,Paulo Assunção,,Brazil,MC|MDC,78
Atlético Madrid,2010-2011,18,Álvaro Domínguez,Álvaro,Spain,DC|DG,78
Atlético Madrid,2010-2011,13,David de Gea,De Gea,Spain,G,78
Atlético Madrid,2010-2011,21,Luis Perea,,Colombia,DC|DD,77
Atlético Madrid,2010-2011,3,Antonio López,,Spain,DG,76
Atlético Madrid,2010-2011,4,Mario Suárez,,Spain,MC|MDC,76
Atlético Madrid,2010-2011,1,Sergio Asenjo,,Spain,G,76
Atlético Madrid,2010-2011,16,Juanfran,Juanfran,Spain,DC|DD|MD,75
Atlético Madrid,2010-2011,8,Raúl García,,Spain,MC|MOC|MD|MDC,75
Atlético Madrid,2010-2011,22,Diego Costa,,Brazil,BU|MOC,74
Atlético Madrid,2010-2011,11,Paco Mérida,Mérida,Spain,MOC,74
Atlético Madrid,2010-2011,2,Javi Valera,Valera,Spain,MD|DD,73
Atlético Madrid,2010-2011,6,Ignacio Camacho,Camacho,Spain,MDC,72
Atlético Madrid,2010-2011,45,José Antonio Collado,Collado,Spain,BU,67
Atlético Madrid,2010-2011,28,Alberto Perea,Perea,Spain,BU,65
Atlético Madrid,2010-2011,26,Jorge Resurrección,Koke,Spain,MC|MD|MG|MDC,65
Atlético Madrid,2010-2011,34,Jorge Pulido,Pulido,Spain,DC,65
Atlético Madrid,2010-2011,33,Alberto Montejo,Montejo,Spain,MOC,64
Atlético Madrid,2010-2011,31,Iván Benítez,Benítez,Spain,DC,62
Atlético Madrid,2010-2011,41,Iago Herrerín,,Spain,G,61
Atlético Madrid,2010-2011,27,Joel Robles,,Spain,G,61
Atlético Madrid,2011-2012,9,Radamel Falcao,Falcao,Colombia,BU,85
Atlético Madrid,2011-2012,22,Diego Ribas,Diego,Brazil,MD|MOC|MG,83
Atlético Madrid,2011-2012,11,Arda Turan,,Turkey,MG|MD|MOC,83
Atlético Madrid,2011-2012,2,Diego Godín,,Uruguay,DC,79
Atlético Madrid,2011-2012,5,Tiago Mendes,Tiago,Portugal,MC|MDC,78
Atlético Madrid,2011-2012,10,José Antonio Reyes,Reyes,Spain,AD|MD,78
Atlético Madrid,2011-2012,20,Juanfran,Juanfran,Spain,DD|DC|MD,78
Atlético Madrid,2011-2012,14,Gabi,Gabi,Spain,MC|MDC,78
Atlético Madrid,2011-2012,23,Miranda,,Brazil,DC,78
Atlético Madrid,2011-2012,18,Álvaro Domínguez,Álvaro,Spain,DC|DG,78
Atlético Madrid,2011-2012,6,Filipe Luís,,Brazil,DG|MDG|MG,77
Atlético Madrid,2011-2012,7,Adrián López,,Spain,BU|AG|MOC,77
Atlético Madrid,2011-2012,8,Eduardo Salvio,,Argentina,AD|MD,77
Atlético Madrid,2011-2012,4,Mario Suárez,,Spain,MDC|MC,76
Atlético Madrid,2011-2012,13,Thibaut Courtois,,Belgium,G,76
Atlético Madrid,2011-2012,21,Luis Perea,,Colombia,DC|DD,75
Atlético Madrid,2011-2012,25,Sergio Asenjo,,Spain,G,75
Atlético Madrid,2011-2012,17,Sílvio,,Portugal,DD|DG,75
Atlético Madrid,2011-2012,12,Paulo Assunção,,Brazil,MDC|MC,74
Atlético Madrid,2011-2012,15,Miguel Ángel Fernandes,Miguel,Portugal,AG|MG,74
Atlético Madrid,2011-2012,16,Paco Mérida,Mérida,Spain,MOC,73
Atlético Madrid,2011-2012,3,Antonio López,,Spain,DG,72
Atlético Madrid,2011-2012,19,Jorge Resurrección,Koke,Spain,MC|MD|MG|MDC,71
Atlético Madrid,2011-2012,1,Joel Robles,,Spain,G,71
Atlético Madrid,2012-2013,9,Radamel Falcao,Falcao,Colombia,BU,90
Atlético Madrid,2012-2013,10,Arda Turan,,Turkey,MD|MOC|MG,84
Atlético Madrid,2012-2013,13,Thibaut Courtois,,Belgium,G,83
Atlético Madrid,2012-2013,2,Diego Godín,,Uruguay,DC,82
Atlético Madrid,2012-2013,21,Emre Belözoğlu,Emre,Turkey,MC|MG|MDC,81
Atlético Madrid,2012-2013,3,Filipe Luís,,Brazil,DG|MDG|MG,81
Atlético Madrid,2012-2013,19,Diego Costa,,Brazil,BU|MOC,81
Atlético Madrid,2012-2013,5,Tiago Mendes,Tiago,Portugal,MC|MDC,80
Atlético Madrid,2012-2013,14,Gabi,Gabi,Spain,MC|MDC,80
Atlético Madrid,2012-2013,23,Miranda,,Brazil,DC,80
Atlético Madrid,2012-2013,6,Jorge Resurrección,Koke,Spain,MD|MG|MC|MDC,80
Atlético Madrid,2012-2013,20,Juanfran,Juanfran,Spain,DD|DC|MD,79
Atlético Madrid,2012-2013,11,Cristian Rodríguez,,Uruguay,MG,79
Atlético Madrid,2012-2013,7,Adrián López,,Spain,BU|AG|MOC,79
Atlético Madrid,2012-2013,18,Diego Alberto Díaz,Diego Díaz,Argentina,DC,78
Atlético Madrid,2012-2013,4,Mario Suárez,,Spain,MDC|MC,78
Atlético Madrid,2012-2013,8,Raúl García,,Spain,MOC|MC|MD|MDC,78
Atlético Madrid,2012-2013,22,Emiliano Insúa,Insúa,Argentina,DG|MDG,77
Atlético Madrid,2012-2013,17,Sílvio,,Portugal,DD|DG,76
Atlético Madrid,2012-2013,1,Sergio Asenjo,,Spain,G,74
Atlético Madrid,2012-2013,25,Joel Robles,,Spain,G,73
Atlético Madrid,2012-2013,30,Óliver Torres,Óliver,Spain,MOC|MC,70
Atlético Madrid,2012-2013,48,Saúl Ñíguez,Saúl,Spain,MC|MG|MD|MDC,64
Atlético Madrid,2012-2013,37,Thomas Partey,,Ghana,MDC|MC,62
Atlético Madrid,2013-2014,10,Arda Turan,,Turkey,MD|MOC|MG,85
Atlético Madrid,2013-2014,19,Diego Costa,,Spain,BU|MOC,84
Atlético Madrid,2013-2014,13,Thibaut Courtois,,Belgium,G,84
Atlético Madrid,2013-2014,9,David Villa,,Spain,BU,83
Atlético Madrid,2013-2014,21,Diego Ribas,Diego,Brazil,MOC|MD|MG,83
Atlético Madrid,2013-2014,3,Filipe Luís,,Brazil,DG|MDG|MG,82
Atlético Madrid,2013-2014,2,Diego Godín,,Uruguay,DC,82
Atlético Madrid,2013-2014,6,Jorge Resurrección,Koke,Spain,MG|MD|MC|MDC,82
Atlético Madrid,2013-2014,14,Gabi,Gabi,Spain,MDC|MC,81
Atlético Madrid,2013-2014,23,Miranda,,Brazil,DC,81
Atlético Madrid,2013-2014,5,Tiago Mendes,Tiago,Portugal,MDC|MC,80
Atlético Madrid,2013-2014,11,Cristian Rodríguez,,Uruguay,MG,80
Atlético Madrid,2013-2014,24,Martín Demichelis,Demichelis,Argentina,DC|MDC,79
Atlético Madrid,2013-2014,20,Juanfran,Juanfran,Spain,DD|DC|MD,79
Atlético Madrid,2013-2014,8,Raúl García,,Spain,MD|MOC|MC|MDC,79
Atlético Madrid,2013-2014,4,Mario Suárez,,Spain,MC|MDC,78
Atlético Madrid,2013-2014,7,Adrián López,,Spain,BU|AG|MOC,78
Atlético Madrid,2013-2014,22,Emiliano Insúa,Insúa,Argentina,DG|MDG,78
Atlético Madrid,2013-2014,12,Toby Alderweireld,,Belgium,DC,78
Atlético Madrid,2013-2014,18,José Sosa,,Argentina,MD|MOC|MC,77
Atlético Madrid,2013-2014,15,Leo Baptistão,Baptistão,Brazil,BU,75
Atlético Madrid,2013-2014,1,Aranzubia,,Spain,G,74
Atlético Madrid,2013-2014,16,Óliver Torres,Óliver,Spain,MOC|MC,74
Atlético Madrid,2013-2014,24,José María Giménez,,Uruguay,DC,71
Atlético Madrid,2013-2014,17,Javier Manquillo,,Spain,DD|DC,67
Atlético Madrid,2013-2014,48,Saúl Ñíguez,Saúl,Spain,MC|MG|MD|MDC,65
Atlético Madrid,2014-2015,10,Arda Turan,,Turkey,MD|MOC|MG,84
Atlético Madrid,2014-2015,2,Diego Godín,,Uruguay,DC,84
Atlético Madrid,2014-2015,23,Miranda,,Brazil,DC,83
Atlético Madrid,2014-2015,9,Mario Mandžukić,,Croatia,BU,83
Atlético Madrid,2014-2015,14,Gabi,Gabi,Spain,MC|MDC,82
