Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Aston Villa,2004-2005,1,Thomas Sørensen,,Denmark,G,82
Aston Villa,2004-2005,2,Mark Delaney,,Wales,DD,72
Aston Villa,2004-2005,3,Jlloyd Samuel,,England,DG,74
Aston Villa,2004-2005,4,Olof Mellberg,,Sweden,DC,81
Aston Villa,2004-2005,5,Martin Laursen,,Denmark,DC,83
Aston Villa,2004-2005,6,Gareth Barry,,England,MC|MG|DG,76
Aston Villa,2004-2005,7,Lee Hendrie,,England,MOC,73
Aston Villa,2004-2005,8,Gavin McCann,,England,MC|MDC,68
Aston Villa,2004-2005,9,Juan Pablo Ángel,,Colombia,BU,84
Aston Villa,2004-2005,10,Darius Vassell,,England,BU|AD,83
Aston Villa,2004-2005,11,Nolberto Solano,,Peru,MD|MOC,79
Aston Villa,2004-2005,12,Thomas Hitzlsperger,,Germany,MC|MG,71
Aston Villa,2004-2005,13,Stefan Postma,,Netherlands,G,58
Aston Villa,2004-2005,14,Eric Djemba-Djemba,,Cameroon,MDC|MC,64
Aston Villa,2004-2005,15,Ulises de la Cruz,,Ecuador,DD|MD,75
Aston Villa,2004-2005,16,Mathieu Berson,,France,MC,58
Aston Villa,2004-2005,17,Peter Whittingham,,England,MG,68
Aston Villa,2004-2005,18,Carlton Cole,,England,BU,63
Aston Villa,2004-2005,19,Liam Ridgewell,,England,DC,68
Aston Villa,2004-2005,22,Luke Moore,,England,BU,67
Aston Villa,2005-2006,1,Thomas Sørensen,,Denmark,G,81
Aston Villa,2005-2006,13,Stuart Taylor,,England,G,77
Aston Villa,2005-2006,2,Mark Delaney,,Wales,DD,72
Aston Villa,2005-2006,3,Jlloyd Samuel,,England,DG,74
Aston Villa,2005-2006,4,Olof Mellberg,,Sweden,DC,80
Aston Villa,2005-2006,5,Martin Laursen,,Denmark,DC,82
Aston Villa,2005-2006,15,Ulises de la Cruz,,Ecuador,DD|MD,75
Aston Villa,2005-2006,16,Wilfred Bouma,,Netherlands,DG|DC,75
Aston Villa,2005-2006,18,Aaron Hughes,,Northern Ireland,DC|DD,76
Aston Villa,2005-2006,19,Liam Ridgewell,,England,DC,67
Aston Villa,2005-2006,21,Gary Cahill,,England,DC,58
Aston Villa,2005-2006,6,Gareth Barry,,England,MC|MG|DG,78
Aston Villa,2005-2006,7,Lee Hendrie,,England,MOC,73
Aston Villa,2005-2006,8,Gavin McCann,,England,MC|MDC,74
Aston Villa,2005-2006,11,James Milner,,England,MD|AD|MC,74
Aston Villa,2005-2006,12,Steven Davis,,Northern Ireland,MC|MOC,64
Aston Villa,2005-2006,14,Eric Djemba-Djemba,,Cameroon,MDC|MC,71
Aston Villa,2005-2006,17,Peter Whittingham,,England,MG,68
Aston Villa,2005-2006,23,Patrik Berger,,Czechia,MOC,71
Aston Villa,2005-2006,26,Craig Gardner,,England,MC,58
Aston Villa,2005-2006,9,Juan Pablo Ángel,,Colombia,BU,83
Aston Villa,2005-2006,10,Milan Baroš,,Czechia,BU,74
Aston Villa,2005-2006,20,Kevin Phillips,,England,BU,76
Aston Villa,2005-2006,22,Luke Moore,,England,BU,68
Aston Villa,2005-2006,30,Gabriel Agbonlahor,,England,AG|BU,60
Aston Villa,2006-2007,1,Thomas Sørensen,,Denmark,G,78
Aston Villa,2006-2007,13,Stuart Taylor,,England,G,75
Aston Villa,2006-2007,2,Mark Delaney,,Wales,DD,71
Aston Villa,2006-2007,3,Jlloyd Samuel,,England,DG,71
Aston Villa,2006-2007,4,Olof Mellberg,,Sweden,DC,79
Aston Villa,2006-2007,5,Martin Laursen,,Denmark,DC,75
Aston Villa,2006-2007,16,Wilfred Bouma,,Netherlands,DG|DC,72
Aston Villa,2006-2007,18,Aaron Hughes,,Northern Ireland,DC|DD,75
Aston Villa,2006-2007,19,Liam Ridgewell,,England,DC,71
Aston Villa,2006-2007,21,Gary Cahill,,England,DC,70
Aston Villa,2006-2007,24,Phil Bardsley,,England,DD,61
Aston Villa,2006-2007,6,Gareth Barry,,England,MC|MG|DG,79
Aston Villa,2006-2007,8,Gavin McCann,,England,MC|MDC,75
Aston Villa,2006-2007,11,Stiliyan Petrov,,Bulgaria,MC|MOC,79
Aston Villa,2006-2007,12,Steven Davis,,Northern Ireland,MC|MOC,77
Aston Villa,2006-2007,17,Ashley Young,,England,AG|MG|DD|DG|MD,74
Aston Villa,2006-2007,23,Patrik Berger,,Czechia,MOC,73
Aston Villa,2006-2007,26,Craig Gardner,,England,MC,63
Aston Villa,2006-2007,27,Isaiah Osbourne,,England,MDC|MC,55
Aston Villa,2006-2007,10,John Carew,,Norway,BU,76
Aston Villa,2006-2007,15,Gabriel Agbonlahor,,England,AG|BU,71
Aston Villa,2006-2007,20,Chris Sutton,,England,BU,58
Aston Villa,2006-2007,22,Luke Moore,,England,BU,73
Aston Villa,2007-2008,1,Thomas Sørensen,,Denmark,G,74
Aston Villa,2007-2008,13,Stuart Taylor,,England,G,73
Aston Villa,2007-2008,22,Scott Carson,,England,G,65
Aston Villa,2007-2008,3,Wilfred Bouma,,Netherlands,DG|DC,72
Aston Villa,2007-2008,4,Olof Mellberg,,Sweden,DC,76
Aston Villa,2007-2008,5,Martin Laursen,,Denmark,DC,75
Aston Villa,2007-2008,15,Curtis Davies,,England,DC,70
Aston Villa,2007-2008,16,Zat Knight,,England,DC,72
Aston Villa,2007-2008,6,Gareth Barry,,England,MC|MG|DG,82
Aston Villa,2007-2008,7,Ashley Young,,England,AG|MG|DD|DG|MD,77
Aston Villa,2007-2008,17,Moustapha Salifou,,Togo,MDC|MC,58
