Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Borussia Dortmund,2004-2005,1,Roman Weidenfeller,,Germany,G,78
Borussia Dortmund,2004-2005,22,Guillaume Warmuz,,France,G,75
Borussia Dortmund,2004-2005,2,Evanílson,,Brazil,DD|DC,78
Borussia Dortmund,2004-2005,4,Christian Wörns,,Germany,DC|MDC,81
Borussia Dortmund,2004-2005,3,Dedé,,Brazil,DG|MG,80
Borussia Dortmund,2004-2005,21,Christoph Metzelder,,Germany,DC|DD,81
Borussia Dortmund,2004-2005,5,Sebastian Kehl,,Germany,MDC|MC|DC,82
Borussia Dortmund,2004-2005,8,Florian Kringe,,Germany,MC|MG|MDC,76
Borussia Dortmund,2004-2005,10,Tomáš Rosický,,Czechia,MOC|MC|MD|MG,85
Borussia Dortmund,2004-2005,18,Lars Ricken,,Germany,MOC|MD|MC,79
Borussia Dortmund,2004-2005,17,David Odonkor,,Germany,AD|MD,75
Borussia Dortmund,2004-2005,9,Jan Koller,,Czechia,BU|MOC,84
Borussia Dortmund,2004-2005,11,Ebi Smolarek,,Poland,BU|AD|AG,78
Borussia Dortmund,2005-2006,1,Roman Weidenfeller,,Germany,G,79
Borussia Dortmund,2005-2006,2,Evanílson,,Brazil,DD|DC,78
Borussia Dortmund,2005-2006,4,Christian Wörns,,Germany,DC|MDC,80
Borussia Dortmund,2005-2006,3,Dedé,,Brazil,DG|MG,80
Borussia Dortmund,2005-2006,21,Christoph Metzelder,,Germany,DC|DD,82
Borussia Dortmund,2005-2006,5,Sebastian Kehl,,Germany,MDC|MC|DC,82
Borussia Dortmund,2005-2006,8,Florian Kringe,,Germany,MC|MG|MDC,77
Borussia Dortmund,2005-2006,10,Tomáš Rosický,,Czechia,MOC|MC|MD|MG,85
Borussia Dortmund,2005-2006,18,Lars Ricken,,Germany,MOC|MD|MC,78
Borussia Dortmund,2005-2006,17,David Odonkor,,Germany,AD|MD,77
Borussia Dortmund,2005-2006,9,Jan Koller,,Czechia,BU|MOC,83
Borussia Dortmund,2005-2006,11,Ebi Smolarek,,Poland,BU|AD|AG,79
Borussia Dortmund,2005-2006,7,Delron Buckley,,South Africa,AG|MG|AD,76
Borussia Dortmund,2005-2006,20,Nelson Valdez,,Paraguay,BU|AD|AG,76
Borussia Dortmund,2006-2007,1,Roman Weidenfeller,,Germany,G,80
Borussia Dortmund,2006-2007,2,Evanílson,,Brazil,DD|DC,77
Borussia Dortmund,2006-2007,4,Christian Wörns,,Germany,DC|MDC,79
Borussia Dortmund,2006-2007,3,Dedé,,Brazil,DG|MG,80
Borussia Dortmund,2006-2007,21,Christoph Metzelder,,Germany,DC|DD,82
Borussia Dortmund,2006-2007,5,Sebastian Kehl,,Germany,MDC|MC|DC,81
Borussia Dortmund,2006-2007,8,Florian Kringe,,Germany,MC|MG|MDC,77
Borussia Dortmund,2006-2007,6,Tinga,,Brazil,MDC|MC|MD,79
Borussia Dortmund,2006-2007,18,Lars Ricken,,Germany,MOC|MD|MC,77
Borussia Dortmund,2006-2007,11,Ebi Smolarek,,Poland,BU|AD|AG,80
Borussia Dortmund,2006-2007,9,Alexander Frei,,Switzerland,BU|MOC,83
Borussia Dortmund,2006-2007,20,Nelson Valdez,,Paraguay,BU|AD|AG,77
Borussia Dortmund,2006-2007,7,Delron Buckley,,South Africa,AG|MG|AD,76
Borussia Dortmund,2007-2008,1,Roman Weidenfeller,,Germany,G,81
Borussia Dortmund,2007-2008,3,Dedé,,Brazil,DG|MG,79
Borussia Dortmund,2007-2008,4,Christian Wörns,,Germany,DC|MDC,78
Borussia Dortmund,2007-2008,2,Evanílson,,Brazil,DD|DC,76
Borussia Dortmund,2007-2008,5,Sebastian Kehl,,Germany,MDC|MC|DC,81
Borussia Dortmund,2007-2008,8,Florian Kringe,,Germany,MC|MG|MDC,77
Borussia Dortmund,2007-2008,6,Tinga,,Brazil,MDC|MC|MD,79
Borussia Dortmund,2007-2008,16,Jakub Błaszczykowski,,Poland,AD|MD|MC,79
Borussia Dortmund,2007-2008,10,Mladen Petrić,,Croatia,BU|MOC|AG,82
Borussia Dortmund,2007-2008,9,Alexander Frei,,Switzerland,BU|MOC,83
Borussia Dortmund,2007-2008,20,Nelson Valdez,,Paraguay,BU|AD|AG,78
Borussia Dortmund,2007-2008,18,Lars Ricken,,Germany,MOC|MD|MC,75
Borussia Dortmund,2008-2009,1,Roman Weidenfeller,,Germany,G,81
Borussia Dortmund,2008-2009,4,Neven Subotić,,Serbia,DC|DD,79
Borussia Dortmund,2008-2009,15,Mats Hummels,,Germany,DC|MDC,76
Borussia Dortmund,2008-2009,3,Dedé,,Brazil,DG|MG,78
Borussia Dortmund,2008-2009,2,Patrick Owomoyela,,Germany,DD|MD,77
Borussia Dortmund,2008-2009,5,Sebastian Kehl,,Germany,MDC|MC|DC,80
Borussia Dortmund,2008-2009,8,Florian Kringe,,Germany,MC|MG|MDC,77
Borussia Dortmund,2008-2009,6,Tinga,,Brazil,MDC|MC|MD,78
Borussia Dortmund,2008-2009,18,Nuri Şahin,,Turkey,MC|MDC|MOC,80
