Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Bayern Munich,2004-2005,1,Oliver Kahn,,Germany,G,91
Bayern Munich,2004-2005,22,Michael Rensing,,Germany,G,74
Bayern Munich,2004-2005,2,Willy Sagnol,,France,DD|MD,84
Bayern Munich,2004-2005,4,Robert Kovač,,Croatia,DC|MDC,82
Bayern Munich,2004-2005,5,Lúcio,,Brazil,DC|MDC|DD,87
Bayern Munich,2004-2005,6,Martín Demichelis,,Argentina,DC|MDC|DD,80
Bayern Munich,2004-2005,69,Bixente Lizarazu,,France,DG|MG,83
Bayern Munich,2004-2005,3,Valérien Ismaël,,France,DC|DD,78
Bayern Munich,2004-2005,13,Michael Ballack,,Germany,MOC|MC|MDC,89
Bayern Munich,2004-2005,8,Torsten Frings,,Germany,MDC|MC|DD,84
Bayern Munich,2004-2005,11,Zé Roberto,,Brazil,MG|MC|MDC|AG,85
Bayern Munich,2004-2005,20,Hasan Salihamidžić,,Bosnia and Herzegovina,MD|MC|AD,82
Bayern Munich,2004-2005,23,Owen Hargreaves,,England,MDC|MC|DD,82
Bayern Munich,2004-2005,18,Sebastian Deisler,,Germany,MD|MOC|AD,82
Bayern Munich,2004-2005,7,Mehmet Scholl,,Germany,MOC|MG|MC,83
Bayern Munich,2004-2005,16,Andreas Ottl,,Germany,MDC|MC,72
Bayern Munich,2004-2005,10,Roy Makaay,,Netherlands,BU|MOC,87
Bayern Munich,2004-2005,14,Claudio Pizarro,,Peru,BU|MOC|AG,84
Bayern Munich,2004-2005,33,Paolo Guerrero,,Peru,BU|AD,74
Bayern Munich,2005-2006,1,Oliver Kahn,,Germany,G,90
Bayern Munich,2005-2006,22,Michael Rensing,,Germany,G,75
Bayern Munich,2005-2006,2,Willy Sagnol,,France,DD|MD,84
Bayern Munich,2005-2006,4,Robert Kovač,,Croatia,DC|MDC,81
Bayern Munich,2005-2006,5,Lúcio,,Brazil,DC|MDC|DD,87
Bayern Munich,2005-2006,6,Martín Demichelis,,Argentina,DC|MDC|DD,81
Bayern Munich,2005-2006,69,Bixente Lizarazu,,France,DG|MG,81
Bayern Munich,2005-2006,21,Philipp Lahm,,Germany,DG|DD|MG|MD,83
Bayern Munich,2005-2006,13,Michael Ballack,,Germany,MOC|MC|MDC,89
Bayern Munich,2005-2006,31,Bastian Schweinsteiger,,Germany,MC|MDC|MG|MOC,81
Bayern Munich,2005-2006,11,Zé Roberto,,Brazil,MG|MC|MDC|AG,85
Bayern Munich,2005-2006,20,Hasan Salihamidžić,,Bosnia and Herzegovina,MD|MC|AD,82
Bayern Munich,2005-2006,23,Owen Hargreaves,,England,MDC|MC|DD,82
Bayern Munich,2005-2006,18,Sebastian Deisler,,Germany,MD|MOC|AD,81
Bayern Munich,2005-2006,7,Mehmet Scholl,,Germany,MOC|MG|MC,81
Bayern Munich,2005-2006,16,Andreas Ottl,,Germany,MDC|MC,73
Bayern Munich,2005-2006,10,Roy Makaay,,Netherlands,BU|MOC,86
Bayern Munich,2005-2006,14,Claudio Pizarro,,Peru,BU|MOC|AG,84
Bayern Munich,2005-2006,33,Paolo Guerrero,,Peru,BU|AD,76
Bayern Munich,2006-2007,1,Oliver Kahn,,Germany,G,88
