Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
FC Barcelone,2004-2005,1,Víctor Valdés,,Spain,G,84
FC Barcelone,2004-2005,25,Rüştü Reçber,,Turkey,G,81
FC Barcelone,2004-2005,13,Albert Jorquera,,Spain,G,72
FC Barcelone,2004-2005,2,Juliano Belletti,,Brazil,DD|MD,82
FC Barcelone,2004-2005,4,Rafael Márquez,,Mexico,DC|MDC|DD,85
FC Barcelone,2004-2005,5,Carles Puyol,,Spain,DC|DD|DG,87
FC Barcelone,2004-2005,12,Giovanni van Bronckhorst,,Netherlands,DG|MG|MC,82
FC Barcelone,2004-2005,16,Sylvinho,,Brazil,DG|MG,80
FC Barcelone,2004-2005,23,Oleguer Presas,Oleguer,Spain,DD|DC,77
FC Barcelone,2004-2005,21,Fernando Navarro,,Spain,DG|DC,75
FC Barcelone,2004-2005,6,Xavi,,Spain,MC|MDC|MOC,88
FC Barcelone,2004-2005,20,Deco,,Portugal,MOC|MC|MG|MD,88
FC Barcelone,2004-2005,15,Edmílson,,Brazil,MDC|MC|DC,82
FC Barcelone,2004-2005,19,Thiago Motta,,Brazil,MDC|MC,78
FC Barcelone,2004-2005,18,Gabri,,Spain,MC|MD|MDC,77
FC Barcelone,2004-2005,24,Andrés Iniesta,,Spain,MC|MOC|MG,81
FC Barcelone,2004-2005,10,Ronaldinho,,Brazil,AG|MOC|MG|AD,94
FC Barcelone,2004-2005,9,Samuel Eto'o,,Cameroon,BU|AD|AG|MOC,89
FC Barcelone,2004-2005,7,Ludovic Giuly,,France,AD|MD|MOC,84
FC Barcelone,2004-2005,17,Henrik Larsson,,Sweden,BU|MOC|AG,83
FC Barcelone,2004-2005,27,Maxi López,,Argentina,BU|MOC,74
FC Barcelone,2005-2006,1,Víctor Valdés,,Spain,G,85
FC Barcelone,2005-2006,25,Rüştü Reçber,,Turkey,G,79
FC Barcelone,2005-2006,13,Albert Jorquera,,Spain,G,73
FC Barcelone,2005-2006,2,Juliano Belletti,,Brazil,DD|MD,82
FC Barcelone,2005-2006,4,Rafael Márquez,,Mexico,DC|MDC|DD,85
FC Barcelone,2005-2006,5,Carles Puyol,,Spain,DC|DD|DG,88
FC Barcelone,2005-2006,12,Giovanni van Bronckhorst,,Netherlands,DG|MG|MC,81
FC Barcelone,2005-2006,16,Sylvinho,,Brazil,DG|MG,80
FC Barcelone,2005-2006,21,Oleguer Presas,Oleguer,Spain,DD|DC,78
FC Barcelone,2005-2006,6,Xavi,,Spain,MC|MDC|MOC,88
FC Barcelone,2005-2006,20,Deco,,Portugal,MOC|MC|MG|MD,88
FC Barcelone,2005-2006,15,Edmílson,,Brazil,MDC|MC|DC,82
FC Barcelone,2005-2006,19,Thiago Motta,,Brazil,MDC|MC,78
FC Barcelone,2005-2006,18,Gabri,,Spain,MC|MD|MDC,77
FC Barcelone,2005-2006,24,Andrés Iniesta,,Spain,MC|MOC|MG,83
FC Barcelone,2005-2006,10,Ronaldinho,,Brazil,AG|MOC|MG|AD,94
FC Barcelone,2005-2006,9,Samuel Eto'o,,Cameroon,BU|AD|AG|MOC,90
FC Barcelone,2005-2006,7,Ludovic Giuly,,France,AD|MD|MOC,83
FC Barcelone,2005-2006,17,Henrik Larsson,,Sweden,BU|MOC|AG,82
FC Barcelone,2005-2006,30,Lionel Messi,,Argentina,AD|MOC|BU|MD,80
FC Barcelone,2005-2006,22,Santiago Ezquerro,,Spain,AG|BU|AD,76
FC Barcelone,2005-2006,11,Maxi López,,Argentina,BU|MOC,75
FC Barcelone,2006-2007,1,Víctor Valdés,,Spain,G,86
FC Barcelone,2006-2007,13,Albert Jorquera,,Spain,G,74
FC Barcelone,2006-2007,2,Juliano Belletti,,Brazil,DD|MD,81
FC Barcelone,2006-2007,3,Lilian Thuram,,France,DC|DD,85
FC Barcelone,2006-2007,4,Rafael Márquez,,Mexico,DC|MDC|DD,85
FC Barcelone,2006-2007,5,Carles Puyol,,Spain,DC|DD|DG,88
FC Barcelone,2006-2007,12,Gianluca Zambrotta,,Italy,DD|DG|MD|MG,84
FC Barcelone,2006-2007,16,Sylvinho,,Brazil,DG|MG,79
FC Barcelone,2006-2007,21,Oleguer Presas,Oleguer,Spain,DD|DC,78
FC Barcelone,2006-2007,6,Xavi,,Spain,MC|MDC|MOC,89
FC Barcelone,2006-2007,20,Deco,,Portugal,MOC|MC|MG|MD,87
FC Barcelone,2006-2007,15,Edmílson,,Brazil,MDC|MC|DC,81
FC Barcelone,2006-2007,24,Thiago Motta,,Brazil,MDC|MC,78
FC Barcelone,2006-2007,8,Andrés Iniesta,,Spain,MC|MOC|MG,85
FC Barcelone,2006-2007,10,Ronaldinho,,Brazil,AG|MOC|MG|AD,92
FC Barcelone,2006-2007,9,Samuel Eto'o,,Cameroon,BU|AD|AG|MOC,89
FC Barcelone,2006-2007,7,Ludovic Giuly,,France,AD|MD|MOC,82
FC Barcelone,2006-2007,11,Eiður Guðjohnsen,,Iceland,BU|MOC|AG,83
FC Barcelone,2006-2007,19,Lionel Messi,,Argentina,AD|MOC|BU|MD,84
FC Barcelone,2006-2007,22,Santiago Ezquerro,,Spain,AG|BU|AD,76
FC Barcelone,2006-2007,14,Javier Saviola,,Argentina,BU|MOC|AG|AD,82
FC Barcelone,2007-2008,1,Víctor Valdés,,Spain,G,86
FC Barcelone,2007-2008,13,Albert Jorquera,,Spain,G,74
FC Barcelone,2007-2008,2,Gianluca Zambrotta,,Italy,DD|DG|MD|MG,83
FC Barcelone,2007-2008,3,Lilian Thuram,,France,DC|DD,83
FC Barcelone,2007-2008,4,Rafael Márquez,,Mexico,DC|MDC|DD,84
FC Barcelone,2007-2008,5,Carles Puyol,,Spain,DC|DD|DG,88
FC Barcelone,2007-2008,16,Sylvinho,,Brazil,DG|MG,78
FC Barcelone,2007-2008,21,Oleguer Presas,Oleguer,Spain,DD|DC,77
FC Barcelone,2007-2008,22,Éric Abidal,,France,DG|DC|MG,84
FC Barcelone,2007-2008,25,Gabriel Milito,,Argentina,DC|DG,82
FC Barcelone,2007-2008,6,Xavi,,Spain,MC|MDC|MOC,89
FC Barcelone,2007-2008,20,Deco,,Portugal,MOC|MC|MG|MD,86
FC Barcelone,2007-2008,24,Yaya Touré,,Ivory Coast,MDC|MC|DC|MOC,85
FC Barcelone,2007-2008,8,Andrés Iniesta,,Spain,MC|MOC|MG,86
FC Barcelone,2007-2008,15,Edmílson,,Brazil,MDC|MC|DC,80
FC Barcelone,2007-2008,10,Ronaldinho,,Brazil,AG|MOC|MG|AD,89
FC Barcelone,2007-2008,9,Samuel Eto'o,,Cameroon,BU|AD|AG|MOC,88
FC Barcelone,2007-2008,14,Thierry Henry,,France,BU|AG|AD|MG,88
FC Barcelone,2007-2008,11,Eiður Guðjohnsen,,Iceland,BU|MOC|AG,82
FC Barcelone,2007-2008,19,Lionel Messi,,Argentina,AD|MOC|BU|MD,87
FC Barcelone,2007-2008,27,Bojan Krkić,Bojan,Spain,BU|AG|MOC,77
FC Barcelone,2007-2008,17,Giovani dos Santos,,Mexico,AG|AD|MOC|MG,77
FC Barcelone,2008-2009,1,Víctor Valdés,,Spain,G,87
FC Barcelone,2008-2009,13,José Manuel Pinto,,Spain,G,77
FC Barcelone,2008-2009,2,Dani Alves,,Brazil,DD|MD|AD,86
FC Barcelone,2008-2009,3,Gerard Piqué,,Spain,DC|DD|MDC,82
