Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Inter Milan,2004-2005,1,Francesco Toldo,,Italy,G,92
Inter Milan,2004-2005,2,Ivan Cordoba,,Colombia,DC|DG,82
Inter Milan,2004-2005,3,Giuseppe Favalli,,Italy,DG|DC,76
Inter Milan,2004-2005,4,Javier Zanetti,,Argentina,DD|DG|MD|MC|MDC,90
Inter Milan,2004-2005,6,Edgar Davids,,Netherlands,MC|MDC|MG|MOC,88
Inter Milan,2004-2005,7,Andy van der Meyde,,Netherlands,MOC,79
Inter Milan,2004-2005,8,Giorgos Karagounis,,Greece,MC|MDC,90
Inter Milan,2004-2005,9,Adriano,Adriano,Brazil,BU,92
Inter Milan,2004-2005,10,Alvaro Recoba,,Uruguay,BU,84
Inter Milan,2004-2005,11,Emre Belozoglu,Emre,Turkey,MDC|MC|MG,82
Inter Milan,2004-2005,15,Ze Maria,Ze Maria,Brazil,DD,76
Inter Milan,2004-2005,16,Juan Sebastian Veron,,Argentina,MC|MDC,83
Inter Milan,2004-2005,17,Julio Cruz,,Argentina,BU,77
Inter Milan,2004-2005,22,Dejan Stankovic,,Serbia,MG|MD|MOC|MC|MDC,75
Inter Milan,2004-2005,23,Marco Materazzi,,Italy,DC|DG,79
Inter Milan,2004-2005,24,Cristiano Zanetti,,Italy,MC,72
Inter Milan,2004-2005,26,Sinisa Mihajlovic,,Serbia,DC,74
Inter Milan,2004-2005,30,Obafemi Martins,,Nigeria,BU,80
Inter Milan,2004-2005,32,Christian Vieri,,Italy,BU,91
Inter Milan,2004-2005,33,Nicolas Burdisso,,Argentina,DC,68
Inter Milan,2004-2005,12,Alberto Fontana,,Italy,G,72
Inter Milan,2005-2006,1,Francesco Toldo,,Italy,G,90
Inter Milan,2005-2006,2,Ivan Cordoba,,Colombia,DC|DG,79
Inter Milan,2005-2006,3,Asier Del Horno,,Spain,DG|DC,83
Inter Milan,2005-2006,4,Javier Zanetti,,Argentina,DD|DG|MD|MC|MDC,85
Inter Milan,2005-2006,5,Esteban Cambiasso,,Argentina,MC|MDC,85
