Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note,BallonOr
Juventus,2004-2005,1,Gianluigi Buffon,,Italy,G,97,0
Juventus,2004-2005,28,Fabio Cannavaro,,Italy,DC,87,0
Juventus,2004-2005,4,Lilian Thuram,,France,DC|DD,92,0
Juventus,2004-2005,19,Gianluca Zambrotta,,Italy,DD|DG|MD|MG,91,0
Juventus,2004-2005,11,Pavel Nedved,,Czechia,MOC|MC|MG,91,0
Juventus,2004-2005,10,Alessandro Del Piero,,Italy,BU|MOC|AG,92,0
Juventus,2004-2005,17,David Trezeguet,,France,BU,92,0
Juventus,2004-2005,9,Zlatan Ibrahimovic,,Sweden,BU,83,0
Juventus,2004-2005,16,Mauro Camoranesi,,Italy,MD|MG|MOC,78,0
Juventus,2004-2005,8,Emerson,,Brazil,MDC|MC,86,0
Juventus,2004-2005,5,Igor Tudor,,Croatia,DC,85,0
Juventus,2004-2005,25,Marcelo Zalayeta,,Uruguay,BU,78,0
Juventus,2004-2005,20,Manuele Blasi,,Italy,MC|MDC,78,0
Juventus,2004-2005,14,Paolo Montero,,Uruguay,DC,80,0
Juventus,2004-2005,6,Alessio Tacchinardi,,Italy,MDC,80,0
Juventus,2004-2005,15,Olivier Kapo,,Ivory Coast,MOC|MG|BU|AG,80,0
Juventus,2004-2005,23,Gianluca Pessotto,,Italy,DD|DG,74,0
Juventus,2004-2005,7,Stephen Appiah,,Ghana,MC|MDC,77,0
Juventus,2005-2006,1,Gianluigi Buffon,,Italy,G,95,0
Juventus,2005-2006,17,David Trezeguet,,France,BU,92,0
Juventus,2005-2006,19,Gianluca Zambrotta,,Italy,DD|DG|MD|MG,91,0
Juventus,2005-2006,9,Zlatan Ibrahimovic,,Sweden,BU,91,0
Juventus,2005-2006,4,Lilian Thuram,,France,DC|DD,90,0
Juventus,2005-2006,11,Pavel Nedved,,Czechia,MOC|MC|MG,90,0
Juventus,2005-2006,10,Alessandro Del Piero,,Italy,BU|MOC|AG,89,0
Juventus,2005-2006,28,Fabio Cannavaro,,Italy,DC,89,1
Juventus,2005-2006,22,Patrick Vieira,,France,MDC|MC,89,0
Juventus,2005-2006,30,Fabrizio Miccoli,,Italy,BU,88,0
Juventus,2005-2006,16,Mauro Camoranesi,,Italy,MD|MG|MOC,84,0
Juventus,2005-2006,12,Christian Abbiati,,Italy,G,83,0
Juventus,2005-2006,8,Emerson,,Brazil,MDC|MC,82,0
Juventus,2005-2006,6,Robert Kovac,,Croatia,DC,80,0
Juventus,2005-2006,25,Marcelo Zalayeta,,Uruguay,BU,79,0
Juventus,2005-2006,20,Manuele Blasi,,Italy,MC|MDC,78,0
Juventus,2005-2006,3,Giorgio Chiellini,,Italy,DC|DG,76,0
Juventus,2005-2006,23,Gianluca Pessotto,,Italy,DD|DG,75,0
Juventus,2005-2006,27,Jonathan Zebina,,France,DD|DC|MD,74,0
Juventus,2005-2006,32,Giuliano Giannichedda,,Italy,MC,74,0
Juventus,2006-2007,1,Gianluigi Buffon,,Italy,G,92,0
Juventus,2006-2007,17,David Trezeguet,,France,BU,89,0
Juventus,2006-2007,10,Alessandro Del Piero,,Italy,BU|MOC|AG,87,0
Juventus,2006-2007,11,Pavel Nedved,,Czechia,MOC|MC|MG,87,0
Juventus,2006-2007,16,Mauro Camoranesi,,Italy,MD|MG|MOC,85,0
Juventus,2006-2007,3,Giorgio Chiellini,,Italy,DC|DG,74,0
Juventus,2006-2007,6,Robert Kovac,,Croatia,DC,78,0
Juventus,2006-2007,32,Marco Marchionni,,Italy,MD|MOC|MC|MDC,78,0
Juventus,2006-2007,18,Jean-Alain Boumsong,,France,DC,76,0
Juventus,2006-2007,15,Claudio Marchisio,,Italy,MC|MDC|MOC,69,0
Juventus,2006-2007,9,Valeri Bojinov,,Bulgaria,BU,83,0
Juventus,2006-2007,30,Nicola Legrottaglie,,Italy,DC,74,0
Juventus,2006-2007,2,Alessandro Birindelli,,Italy,DD,74,0
Juventus,2006-2007,27,Jonathan Zebina,,France,DD|DC|MD,73,0
Juventus,2006-2007,8,Giuliano Giannichedda,,Italy,MC,73,0
Juventus,2006-2007,19,Matteo Paro,,Italy,MC,72,0
Juventus,2006-2007,12,Antonio Mirante,,Italy,G,71,0
Juventus,2006-2007,14,Federico Balzaretti,,Italy,DG,70,0
Juventus,2006-2007,7,Gianluca Pessotto,,Italy,DD|DG,75,0
Juventus,2006-2007,20,Raffaele Palladino,,Italy,BU|AG,75,0
Juventus,2006-2007,43,Sebastian Giovinco,,Italy,MOC|MC|BU,60,0
Juventus,2007-2008,1,Gianluigi Buffon,,Italy,G,91,0
Juventus,2007-2008,17,David Trezeguet,,France,BU,88,0
Juventus,2007-2008,10,Alessandro Del Piero,,Italy,BU|MOC|AG,86,0
Juventus,2007-2008,16,Mauro Camoranesi,,Italy,MD|MG|MOC,85,0
Juventus,2007-2008,11,Pavel Nedved,,Czechia,MOC|MC|MG,84,0
Juventus,2007-2008,23,Tiago,,Portugal,MDC|MC,82,0
Juventus,2007-2008,5,Jorge Andrade,,Portugal,DC,82,0
Juventus,2007-2008,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,81,0
Juventus,2007-2008,9,Vincenzo Iaquinta,,Italy,BU,81,0
Juventus,2007-2008,2,Zdenek Grygera,,Czechia,DD|DC,81,0
Juventus,2007-2008,25,Sergio Almiron,,Argentina,MOC|MC|MDC,79,0
Juventus,2007-2008,32,Marco Marchionni,,Italy,MD|MOC|MC|MDC,78,0
Juventus,2007-2008,18,Jean-Alain Boumsong,,France,DC,76,0
Juventus,2007-2008,8,Cristiano Zanetti,,Italy,MDC|MC,75,0
Juventus,2007-2008,20,Raffaele Palladino,,Italy,BU|AG,75,0
Juventus,2007-2008,3,Giorgio Chiellini,,Italy,DC|DG,74,0
Juventus,2007-2008,27,Jonathan Zebina,,France,DD|DC|MD,73,0
Juventus,2007-2008,30,Cristian Molinaro,,Italy,DG|DC|MG,59,0
Juventus,2007-2008,15,Claudio Marchisio,,Italy,MC|MDC|MOC,71,0
Juventus,2008-2009,1,Gianluigi Buffon,,Italy,G,90,0
Juventus,2008-2009,10,Alessandro Del Piero,,Italy,BU|MOC|AG,87,0
Juventus,2008-2009,17,David Trezeguet,,France,BU,86,0
Juventus,2008-2009,16,Mauro Camoranesi,,Italy,MD|MG|MOC,86,0
Juventus,2008-2009,3,Giorgio Chiellini,,Italy,DC|DG,85,0
Juventus,2008-2009,32,Amauri,,Brazil,BU,85,0
Juventus,2008-2009,9,Vincenzo Iaquinta,,Italy,BU,84,0
Juventus,2008-2009,18,Christian Poulsen,,Denmark,MDC,83,0
Juventus,2008-2009,30,Nicola Legrottaglie,,Italy,DC,82,0
Juventus,2008-2009,8,Cristiano Zanetti,,Italy,MDC|MC,82,0
Juventus,2008-2009,11,Pavel Nedved,,Czechia,MOC|MC|MG,81,0
Juventus,2008-2009,2,Zdenek Grygera,,Czechia,DD|DC,80,0
Juventus,2008-2009,29,Mohamed Sissoko,,Mali,MDC|MOC|MC,80,0
Juventus,2008-2009,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,79,0
Juventus,2008-2009,25,Sebastian Giovinco,,Italy,MOC|MC|BU,79,0
Juventus,2008-2009,23,Tiago,,Portugal,MDC|MC,78,0
Juventus,2008-2009,5,Jorge Andrade,,Portugal,DC,78,0
Juventus,2008-2009,28,Olof Mellberg,,Sweden,DC,77,0
Juventus,2008-2009,27,Jonathan Zebina,,France,DD|DC|MD,76,0
Juventus,2008-2009,30,Cristian Molinaro,,Italy,DG|DC|MG,76,0
Juventus,2008-2009,15,Claudio Marchisio,,Italy,MC|MDC|MOC,74,0
Juventus,2008-2009,7,Paolo De Ceglie,,Italy,DG,71,0
Juventus,2009-2010,1,Gianluigi Buffon,,Italy,G,88,0
Juventus,2009-2010,10,Diego,,Brazil,MOC,87,0
Juventus,2009-2010,7,Alessandro Del Piero,,Italy,BU|MOC|AG,86,0
Juventus,2009-2010,3,Giorgio Chiellini,,Italy,DC|DG,86,0
Juventus,2009-2010,16,Mauro Camoranesi,,Italy,MD|MG|MOC,84,0
Juventus,2009-2010,32,Amauri,,Brazil,BU,84,0
Juventus,2009-2010,28,Fabio Cannavaro,,Italy,DC,83,0
Juventus,2009-2010,9,Vincenzo Iaquinta,,Italy,BU,83,0
Juventus,2009-2010,30,Nicola Legrottaglie,,Italy,DC,82,0
Juventus,2009-2010,17,David Trezeguet,,France,BU,82,0
Juventus,2009-2010,30,Felipe Melo,,Brazil,MDC|MOC|MC,82,0
Juventus,2009-2010,25,Sebastian Giovinco,,Italy,MOC|MC|BU,81,0
Juventus,2009-2010,29,Mohamed Sissoko,,Mali,MDC|MOC|MC,79,0
Juventus,2009-2010,8,Claudio Marchisio,,Italy,MC|MDC|MOC,79,0
Juventus,2009-2010,23,Tiago,,Portugal,MDC|MC,78,0
Juventus,2009-2010,2,Zdenek Grygera,,Czechia,DD|DC,78,0
Juventus,2009-2010,4,Martin Caceres,,Uruguay,DD|DC,78,0
Juventus,2009-2010,20,Hasan Salihamidzic,,Bosnia and Herzegovina,MG|MD|DD|DG|MC,77,0
Juventus,2009-2010,26,Fabio Grosso,,Italy,DG|MDC|MG,77,0
Juventus,2009-2010,18,Christian Poulsen,,Denmark,MDC,77,0
Juventus,2009-2010,27,Jonathan Zebina,,France,DD|DC|MD,76,0
Juventus,2009-2010,33,Cristian Molinaro,,Italy,DG|DC|MG,75,0
Juventus,2009-2010,7,Paolo De Ceglie,,Italy,DG,74,0
