Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Liverpool,2004-2005,8,Steven Gerrard,,England,MC|MD|MOC|BU|MDC,93
Liverpool,2004-2005,9,Djibril Cisse,,France,BU|AD|AG|MOC,90
Liverpool,2004-2005,5,Milan Baros,,Czechia,BU|MOC|AD,87
Liverpool,2004-2005,7,Harry Kewell,,Australia,MG|AG|BU|MOC,86
Liverpool,2004-2005,4,Sami Hyypia,,Finland,DC|DD|MDC,86
Liverpool,2004-2005,16,Dietmar Hamann,,Germany,MDC|MC|DC,85
Liverpool,2004-2005,14,Xabi Alonso,,Spain,MC|MDC|MOC,85
Liverpool,2004-2005,23,Jamie Carragher,,England,DC|DD|DG|MDC,84
Liverpool,2004-2005,11,Vladimir Smicer,,Czechia,MOC|MD|MC|AD,83
Liverpool,2004-2005,1,Jerzy Dudek,,Poland,G,83
Liverpool,2004-2005,2,Stephane Henchoz,,Switzerland,DC|DD|MDC,82
Liverpool,2004-2005,6,John Arne Riise,,Norway,DG|MG,82
Liverpool,2004-2005,22,Chris Kirkland,,England,G,81
Liverpool,2004-2005,10,Luis Garcia,,Spain,MD|BU|MOC|AD|AG,80
Liverpool,2004-2005,17,Josemi,Josemi,Spain,DD|MD|DC,78
Liverpool,2004-2005,3,Steve Finnan,,Republic of Ireland,DD|MD|DG,77
Liverpool,2004-2005,25,Igor Biscan,,Croatia,MDC,76
Liverpool,2004-2005,24,Florent Sinama-Pongolle,,France,BU,75
Liverpool,2004-2005,12,Darwin Nunez,Nunez,Spain,BU|MD|AG|MOC,75
Liverpool,2004-2005,15,Salif Diao,,Senegal,MDC,74
Liverpool,2004-2005,21,Djimi Traore,,France,DG|DC|MG|MDC,74
Liverpool,2004-2005,28,Stephen Warnock,,England,DG,71
Liverpool,2005-2006,19,Fernando Morientes,,Spain,BU|MOC|AG,91
Liverpool,2005-2006,8,Steven Gerrard,,England,MC|MD|MOC|BU|MDC,91
Liverpool,2005-2006,9,Djibril Cisse,,France,BU|AD|AG|MOC,89
Liverpool,2005-2006,1,Jerzy Dudek,,Poland,G,88
Liverpool,2005-2006,14,Xabi Alonso,,Spain,MC|MDC|MOC,86
Liverpool,2005-2006,10,Luis Garcia,,Spain,MD|BU|MOC|AD|AG,86
Liverpool,2005-2006,7,Harry Kewell,,Australia,MG|AG|BU|MOC,85
Liverpool,2005-2006,23,Jamie Carragher,,England,DC|DD|DG|MDC,85
Liverpool,2005-2006,6,John Arne Riise,,Norway,DG|MG,85
Liverpool,2005-2006,25,Pepe Reina,Reina,Spain,G,85
Liverpool,2005-2006,16,Dietmar Hamann,,Germany,MDC|MC|DC,84
Liverpool,2005-2006,30,Boudewijn Zenden,,Netherlands,MG|AG|MOC|MD,83
Liverpool,2005-2006,4,Sami Hyypia,,Finland,DC|DD|MDC,83
Liverpool,2005-2006,3,Steve Finnan,,Republic of Ireland,DD|MD|DG,81
Liverpool,2005-2006,21,Djimi Traore,,Mali,DG|DC|MG|MDC,78
Liverpool,2005-2006,33,Neil Mellor,,England,BU|MOC,78
Liverpool,2005-2006,24,Florent Sinama-Pongolle,,France,BU,77
Liverpool,2005-2006,17,Josemi,Josemi,Spain,DD|MD|DC,77
Liverpool,2005-2006,20,Scott Carson,,England,G,75
Liverpool,2005-2006,28,Stephen Warnock,,England,DG,74
Liverpool,2005-2006,15,Peter Crouch,,England,BU|MOC,73
Liverpool,2006-2007,8,Steven Gerrard,,England,MC|MD|MOC|BU|MDC,87
Liverpool,2006-2007,23,Jamie Carragher,,England,DC|DD|DG|MDC,85
Liverpool,2006-2007,25,Pepe Reina,Reina,Spain,G,84
Liverpool,2006-2007,14,Xabi Alonso,,Spain,MC|MDC|MOC,84
Liverpool,2006-2007,10,Luis Garcia,,Spain,MD|BU|MOC|AD|AG,84
Liverpool,2006-2007,7,Harry Kewell,,Australia,MG|AG|BU|MOC,83
Liverpool,2006-2007,4,Sami Hyypia,,Finland,DC|DD|MDC,83
Liverpool,2006-2007,18,Dirk Kuyt,,Netherlands,BU|MD|MOC|AD,82
Liverpool,2006-2007,17,Craig Bellamy,,Wales,BU|AG|AD|MOC,81
Liverpool,2006-2007,1,Jerzy Dudek,,Poland,G,81
Liverpool,2006-2007,22,Mohamed Sissoko,,Mali,MC|MDC|DC,80
Liverpool,2006-2007,6,John Arne Riise,,Norway,DG|MG,79
Liverpool,2006-2007,3,Steve Finnan,,Republic of Ireland,DD|MD|DG,78
Liverpool,2006-2007,15,Peter Crouch,,England,BU|MOC,78
Liverpool,2006-2007,9,Robbie Fowler,,England,BU,77
Liverpool,2006-2007,32,Boudewijn Zenden,,Netherlands,MG|AG|MOC|MD,77
