Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Lille,2007-2008,17,Jean II Makoun,,Cameroun,MC|MDC|MG|BU,82
Lille,2007-2008,10,Ludovic Obraniak,,France,MG|AD|MOC|AG|MD,78
Lille,2007-2008,1,Tony Sylva,,Senegal,G,77
Lille,2007-2008,20,Gregory Tafforeau,,France,DG|MG|DC,77
Lille,2007-2008,2,Mathieu Debuchy,,France,DD|AD|MC|MD,77
Lille,2007-2008,26,Stephan Lichtsteiner,,Suisse,DD|MD,76
Lille,2007-2008,8,Michel Bastos,,Bresil,MG|DG|AG,74
Lille,2007-2008,7,Yohan Cabaye,,France,MC|MDC|MOC,73
Lille,2007-2008,27,Kevin Mirallas,,Belgique,BU,73
Lille,2007-2008,29,Stephane Dumont,,France,MDC,71
Lille,2007-2008,11,Souleymane Youla,,Guinee,BU,70
Lille,2007-2008,13,Nicolas Fauvergue,,France,BU,69
Lille,2007-2008,18,Franck Beria,,France,DG|DC|MD|DD,68
Lille,2007-2008,16,Gregory Malicki,,France,G,66
Lille,2007-2008,21,Marko Maric,,Croatie,MC,64
Lille,2007-2008,25,Nicolas Plestan,,France,DC,63
Lille,2007-2008,14,Luis Alfredo Yanes Padilla,,Colombie,AD,62
Lille,2007-2008,24,Samuel Robail,,France,MC,61
Lille,2007-2008,9,Larsen Toure,,France,BU,60
Lille,2007-2008,15,Emerson,Emerson,Bresil,DG,58
Lille,2007-2008,6,Emra Tahirovic,,Suede,BU,57
Lille,2007-2008,22,Aurelien Chedjou,,Cameroun,DC|MDC|DD,57
Lille,2007-2008,23,Adil Rami,,France,DC,55
Lille,2007-2008,33,Elong Henri Ewane,,Cameroun,MDC,46
Lille,2007-2008,4,Jeremy Taravel,,France,DC,46
Lille,2008-2009,8,Michel Bastos,,Bresil,MG|DG|AG,80
Lille,2008-2009,20,Gregory Tafforeau,,France,DG|MG|DC,78
Lille,2008-2009,4,Florent Balmont,,France,MDC|MC|MDD,76
Lille,2008-2009,10,Ludovic Obraniak,,France,MG|AD|MOC|AG|MD,76
Lille,2008-2009,24,Rio Mavuba,,France,MDG|MC|MDC|MDD,76
Lille,2008-2009,2,Mathieu Debuchy,,France,DD|AD|MC|MD,76
Lille,2008-2009,23,Adil Rami,,France,DC,75
Lille,2008-2009,17,Robert Vittek,,Slovaquie,AD|BU|AG,74
Lille,2008-2009,9,Tulio de Melo,,Bresil,BU,74
Lille,2008-2009,6,Pierre-Alain Frau,,France,BU,73
Lille,2008-2009,1,Ludovic Butelle,,France,G,73
Lille,2008-2009,29,Stephane Dumont,,France,MDC,71
Lille,2008-2009,7,Yohan Cabaye,,France,MC|MDC|MOC,71
Lille,2008-2009,18,Franck Beria,,France,DG|DC|MD|DD,67
Lille,2008-2009,16,Gregory Malicki,,France,G,67
Lille,2008-2009,13,Nicolas Fauvergue,,France,BU,67
Lille,2008-2009,25,Nicolas Plestan,,France,DC,64
Lille,2008-2009,21,Marko Maric,,Croatie,MC,62
Lille,2008-2009,19,Peter Franquart,,France,DC,59
Lille,2008-2009,22,Aurelien Chedjou,,Cameroun,DC|MDC|DD,58
Lille,2008-2009,15,Emerson,Emerson,Bresil,DG,57
Lille,2008-2009,38,Emil Lyng,,Danemark,AD|MD,52
Lille,2008-2009,26,Eden Hazard,,Belgique,AG|MOC|MG|AD,51
Lille,2008-2009,30,Alexandre Oukidja,,France,G,49
Lille,2008-2009,27,Jeremy Taravel,,France,DC,49
Lille,2006-2007,14,Peter Odemwingie,,Nigeria,BU|AD|AG,83
Lille,2006-2007,17,Jean II Makoun,,Cameroun,MC|MDC|MG|BU,82
Lille,2006-2007,5,Rafael,Rafael,Bresil,DC|DD,81
Lille,2006-2007,12,Mathieu Bodmer,,France,BU|MC|DC|MDC,81
Lille,2006-2007,4,Efstathios Tavlaridis,,Grece,DC,81
Lille,2006-2007,23,Abdul Kader Keita,,Cote d'Ivoire,AD|BU|MD|AG,78
Lille,2006-2007,1,Tony Sylva,,Senegal,G,77
Lille,2006-2007,20,Gregory Tafforeau,,France,DG|MG|DC,77
Lille,2006-2007,2,Mathieu Debuchy,,France,DD|AD|MC|MD,77
Lille,2006-2007,26,Stephan Lichtsteiner,,Suisse,DD|MD,76
Lille,2006-2007,9,Johan Audel,,France,BU|AG|AD|MOC,74
Lille,2006-2007,8,Michel Bastos,,Bresil,MG|DG|AG,74
Lille,2006-2007,10,Daniel Gygax,,Suisse,AD|MD,73
Lille,2006-2007,25,Nicolas Plestan,,France,DC,73
Lille,2006-2007,21,Matthieu Chalme,,France,DD,73
Lille,2006-2007,7,Yohan Cabaye,,France,MC|MDC|MOC,73
Lille,2006-2007,27,Kevin Mirallas,,Belgique,BU,73
Lille,2006-2007,29,Stephane Dumont,,France,MDC,71
Lille,2006-2007,11,Souleymane Youla,,Guinee,BU,70
Lille,2006-2007,22,Milivoje Vitakic,,Serbie,DC,67
Lille,2006-2007,16,Gregory Malicki,,France,G,66
Lille,2006-2007,13,Nicolas Fauvergue,,France,BU,61
Lille,2006-2007,24,Samuel Robail,,France,MC,61
Lille,2005-2006,1,Tony Sylva,,Senegal,G,75
Lille,2005-2006,15,Milenko Acimovic,,Slovenie,MOC|MC,74
Lille,2005-2006,9,Matt Moussilou,,France,BU|MC,74
