Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
AC Milan,2004-2005,13,Alessandro Nesta,,Italy,DC,94
AC Milan,2004-2005,7,Andriy Shevchenko,,Ukraine,BU|AG|AD,93
AC Milan,2004-2005,31,Jacobus Stam,Jaap Stam,Netherlands,DC,93
AC Milan,2004-2005,3,Paolo Maldini,,Italy,DG|DC,92
AC Milan,2004-2005,22,Ricardo Izecson dos Santos Leite,Kaká,Brazil,MOC|MC,92
AC Milan,2004-2005,20,Clarence Seedorf,,Netherlands,MC|MOC|MG|MD,90
AC Milan,2004-2005,9,Filippo Inzaghi,,Italy,BU,90
AC Milan,2004-2005,2,Marcos Evangelista de Moraes,Cafu,Brazil,DD|MD,90
AC Milan,2004-2005,1,Nelson de Jesus Silva,Dida,Brazil,G,90
AC Milan,2004-2005,21,Andrea Pirlo,,Italy,MDC|MC|MOC,89
AC Milan,2004-2005,8,Gennaro Gattuso,,Italy,MDC|MC|MD,89
AC Milan,2004-2005,11,Hernán Jorge Crespo,,Argentina,BU,89
AC Milan,2004-2005,10,Manuel César Rui Costa,Rui Costa,Portugal,MOC|MC,89
AC Milan,2004-2005,15,Jon Dahl Tomasson,,Denmark,BU,87
AC Milan,2004-2005,17,Christian Abbiati,,Italy,G,83
AC Milan,2004-2005,23,Massimo Ambrosini,,Italy,MDC|MC,82
AC Milan,2004-2005,4,Kakhaber Kaladze,,Georgia,DG|DC|MG,81
AC Milan,2004-2005,5,Alessandro Costacurta,,Italy,DC,80
AC Milan,2004-2005,26,Giuseppe Pancaro,,Italy,DD,80
AC Milan,2004-2005,24,Vikash Dhorasoo,,France,MOC|MC,79
AC Milan,2004-2005,28,Fabricio Coloccini,,Argentina,DC,78
AC Milan,2004-2005,14,Dario Šimić,,Croatia,DD|DC,77
AC Milan,2004-2005,32,Cristian Brocchi,,Italy,MC|MDC|MD,72
AC Milan,2004-2005,27,Sérgio Cláudio dos Santos,Serginho,Brazil,MG,72
AC Milan,2005-2006,7,Andriy Shevchenko,,Ukraine,BU|AG|AD,93
AC Milan,2005-2006,1,Nelson de Jesus Silva,Dida,Brazil,G,91
AC Milan,2005-2006,3,Paolo Maldini,,Italy,DG|DC,91
AC Milan,2005-2006,13,Alessandro Nesta,,Italy,DC,90
AC Milan,2005-2006,20,Clarence Seedorf,,Netherlands,MC|MOC|MG|MD,90
AC Milan,2005-2006,9,Filippo Inzaghi,,Italy,BU,90
AC Milan,2005-2006,31,Jacobus Stam,Jaap Stam,Netherlands,DC,90
AC Milan,2005-2006,22,Ricardo Izecson dos Santos Leite,Kaká,Brazil,MOC|MC,90
AC Milan,2005-2006,32,Christian Vieri,,Italy,BU,89
AC Milan,2005-2006,10,Manuel César Rui Costa,Rui Costa,Portugal,MOC|MC,89
AC Milan,2005-2006,11,Alberto Gilardino,,Italy,BU,87
AC Milan,2005-2006,8,Gennaro Gattuso,,Italy,MDC|MC|MD,87
AC Milan,2005-2006,2,Marcos Evangelista de Moraes,Cafu,Brazil,DD|MD,87
AC Milan,2005-2006,21,Andrea Pirlo,,Italy,MDC|MC|MOC,86
AC Milan,2005-2006,29,Marek Jankulovski,,Czechia,DG|MG|AG,84
AC Milan,2005-2006,23,Massimo Ambrosini,,Italy,MDC|MC,82
AC Milan,2005-2006,4,Kakhaber Kaladze,,Georgia,DG|DC|MG,81
AC Milan,2005-2006,5,Alessandro Costacurta,,Italy,DC,80
AC Milan,2005-2006,14,Dario Šimić,,Croatia,DD|DC,77
AC Milan,2005-2006,27,Sérgio Cláudio dos Santos,Serginho,Brazil,MG,72
AC Milan,2005-2006,18,Zeljko Kalac,,Australia,G,71
AC Milan,2006-2007,13,Alessandro Nesta,,Italy,DC,91
AC Milan,2006-2007,1,Nelson de Jesus Silva,Dida,Brazil,G,88
AC Milan,2006-2007,22,Ricardo Izecson dos Santos Leite,Kaká,Brazil,MOC|MC,87
AC Milan,2006-2007,21,Andrea Pirlo,,Italy,MDC|MC|MOC,86
AC Milan,2006-2007,11,Alberto Gilardino,,Italy,BU,85
AC Milan,2006-2007,4,Kakhaber Kaladze,,Georgia,DG|DC|MG,85
AC Milan,2006-2007,25,Daniele Bonera,,Italy,DC|DD,83
AC Milan,2006-2007,2,Marcos Evangelista de Moraes,Cafu,Brazil,DD|MD,83
AC Milan,2006-2007,3,Paolo Maldini,,Italy,DG|DC,82
AC Milan,2006-2007,9,Filippo Inzaghi,,Italy,BU,81
AC Milan,2006-2007,8,Gennaro Gattuso,,Italy,MDC|MC|MD,81
