Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Manchester United,2004-2005,10,Ruud van Nistelrooy,,Netherlands,BU|MOC,95
Manchester United,2004-2005,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,92
Manchester United,2004-2005,18,Paul Scholes,,England,MC|MOC|MDC,92
Manchester United,2004-2005,5,Rio Ferdinand,,England,DC|DD|MDC,92
Manchester United,2004-2005,16,Roy Keane,,Republic of Ireland,MC|MDC|MOC,91
Manchester United,2004-2005,1,Tim Howard,,United States,G,89
Manchester United,2004-2005,7,Cristiano Ronaldo,,Portugal,MD|BU|AD|AG|MG|MOC,88
Manchester United,2004-2005,8,Wayne Rooney,,England,BU|MOC|MC|AD|AG,87
Manchester United,2004-2005,9,Louis Saha,,France,BU|MOC|AG|AD,86
Manchester United,2004-2005,27,Mikael Silvestre,,France,DC|DG|DD,85
Manchester United,2004-2005,22,John O'Shea,,Republic of Ireland,DG|DC|DD,84
Manchester United,2004-2005,13,Roy Carroll,,Northern Ireland,G,84
Manchester United,2004-2005,6,Wes Brown,,England,DC|DD|MDC,83
Manchester United,2004-2005,15,Kleberson,Kleberson,Brazil,MC|MDC|MD,83
Manchester United,2004-2005,2,Gary Neville,,England,DD|MD|DC,82
Manchester United,2004-2005,4,Gabriel Heinze,,Argentina,DG|DC|MG,82
Manchester United,2004-2005,14,Alan Smith,,England,BU|MOC|MC|MDC,82
Manchester United,2004-2005,3,Phil Neville,,England,DG|DD|MC|MDC,80
Manchester United,2004-2005,19,Eric Djemba-Djemba,,Cameroon,MC|MDC|DD,79
Manchester United,2004-2005,25,Quinton Fortune,,South Africa,MG,75
Manchester United,2004-2005,24,Darren Fletcher,,Scotland,MD|MDC,75
Manchester United,2005-2006,8,Wayne Rooney,,England,BU|MOC|MC|AD|AG,93
Manchester United,2005-2006,5,Rio Ferdinand,,England,DC|DD|MDC,91
Manchester United,2005-2006,10,Ruud van Nistelrooy,,Netherlands,BU|MOC,91
Manchester United,2005-2006,7,Cristiano Ronaldo,,Portugal,MD|BU|AD|AG|MG|MOC,91
Manchester United,2005-2006,18,Paul Scholes,,England,MC|MOC|MDC,87
Manchester United,2005-2006,19,Edwin van der Sar,,Netherlands,G,86
Manchester United,2005-2006,20,Ole Gunnar Solskjaer,,Norway,BU|MOC|AD|AG,85
Manchester United,2005-2006,22,John O'Shea,,Republic of Ireland,DG|DC|DD,84
Manchester United,2005-2006,9,Louis Saha,,France,BU|MOC|AG|AD,84
Manchester United,2005-2006,27,Mikael Silvestre,,France,DC|DG|DD,84
Manchester United,2005-2006,4,Gabriel Heinze,,Argentina,DG|DC|MG,84
Manchester United,2005-2006,1,Tim Howard,,United States,G,84
Manchester United,2005-2006,16,Roy Keane,,Republic of Ireland,MC|MDC|MOC,82
Manchester United,2005-2006,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,82
Manchester United,2005-2006,6,Wes Brown,,England,DC|DD|MDC,82
Manchester United,2005-2006,13,Park Ji-Sung,,Republic of Korea,MOC|MD|MG|AG|MC,82
Manchester United,2005-2006,2,Gary Neville,,England,DD|MD|DC,79
Manchester United,2005-2006,14,Alan Smith,,England,BU|MOC|MC|MDC,78
Manchester United,2005-2006,23,Kieran Richardson,,England,MG,77
Manchester United,2006-2007,8,Wayne Rooney,,England,BU|MOC|MC|AD|AG,92
Manchester United,2006-2007,5,Rio Ferdinand,,England,DC|DD|MDC,87
Manchester United,2006-2007,7,Cristiano Ronaldo,,Portugal,MD|BU|AD|AG|MG|MOC,87
Manchester United,2006-2007,1,Edwin van der Sar,,Netherlands,G,87
Manchester United,2006-2007,18,Paul Scholes,,England,MC|MOC|MDC,86
Manchester United,2006-2007,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,84
Manchester United,2006-2007,4,Gabriel Heinze,,Argentina,DG|DC|MG,84
Manchester United,2006-2007,9,Louis Saha,,France,BU|MOC|AG|AD,83
Manchester United,2006-2007,27,Mikael Silvestre,,France,DC|DG|DD,82
Manchester United,2006-2007,16,Michael Carrick,,England,MC|MDC|DC,82
Manchester United,2006-2007,2,Gary Neville,,England,DD|MD|DC,81
Manchester United,2006-2007,22,John O'Shea,,Republic of Ireland,DG|DC|DD,80
Manchester United,2006-2007,6,Wes Brown,,England,DC|DD|MDC,79
Manchester United,2006-2007,14,Alan Smith,,England,BU|MOC|MC|MDC,79
Manchester United,2006-2007,13,Park Ji-Sung,,Republic of Korea,MOC|MD|MG|AG|MC,79
Manchester United,2006-2007,15,Nemanja Vidic,,Serbia,DC|DD|MDC,79
Manchester United,2006-2007,3,Patrice Evra,,France,DG|MG|DC,78
Manchester United,2007-2008,7,Cristiano Ronaldo,,Portugal,MD|BU|AD|AG|MG|MOC,91
Manchester United,2007-2008,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,90
Manchester United,2007-2008,5,Rio Ferdinand,,England,DC|DD|MDC,87
Manchester United,2007-2008,32,Carlos Tevez,,Argentina,BU|AD|MOC|AG,87
Manchester United,2007-2008,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,86
Manchester United,2007-2008,15,Nemanja Vidic,,Serbia,DC|DD|MDC,85
Manchester United,2007-2008,18,Paul Scholes,,England,MC|MOC|MDC,84
Manchester United,2007-2008,1,Edwin van der Sar,,Netherlands,G,84
Manchester United,2007-2008,16,Michael Carrick,,England,MC|MDC|DC,83
Manchester United,2007-2008,17,Nani,Nani,Cape Verde,MG|AG|AD|MD|MOC,82
Manchester United,2007-2008,8,Anderson,Anderson,Brazil,MOC|MC,82
Manchester United,2007-2008,9,Louis Saha,,France,BU|MOC|AG|AD,81
Manchester United,2007-2008,2,Gary Neville,,England,DD|MD|DC,80
Manchester United,2007-2008,4,Owen Hargreaves,,England,MDC|MC|DD,80
Manchester United,2007-2008,6,Wes Brown,,England,DC|DD|MDC,79
Manchester United,2007-2008,3,Patrice Evra,,France,DG|MG|DC,78
Manchester United,2008-2009,7,Cristiano Ronaldo,,Portugal,MD|BU|AD|AG|MG|MOC,91
Manchester United,2008-2009,5,Rio Ferdinand,,England,DC|DD|MDC,87
Manchester United,2008-2009,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,87
Manchester United,2008-2009,9,Dimitar Berbatov,,Bulgaria,BU|MOC,86
Manchester United,2008-2009,15,Nemanja Vidic,,Serbia,DC|DD|MDC,86
Manchester United,2008-2009,18,Paul Scholes,,England,MC|MOC|MDC,85
Manchester United,2008-2009,1,Edwin van der Sar,,Netherlands,G,85
Manchester United,2008-2009,32,Carlos Tevez,,Argentina,BU|AD|MOC|AG,85
Manchester United,2008-2009,3,Patrice Evra,,France,DG|MG|DC,84
Manchester United,2008-2009,4,Owen Hargreaves,,England,MDC|MC|DD,83
Manchester United,2008-2009,16,Michael Carrick,,England,MC|MDC|DC,83
Manchester United,2008-2009,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,82
Manchester United,2008-2009,8,Anderson,Anderson,Brazil,MOC|MC,82
Manchester United,2008-2009,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,81
Manchester United,2008-2009,6,Wes Brown,,England,DC|DD|MDC,80
Manchester United,2008-2009,2,Gary Neville,,England,DD|MD|DC,79
Manchester United,2009-2010,15,Nemanja Vidic,,Serbia,DC|DD|MDC,88
Manchester United,2009-2010,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,87
Manchester United,2009-2010,5,Rio Ferdinand,,England,DC|DD|MDC,86
Manchester United,2009-2010,9,Dimitar Berbatov,,Bulgaria,BU|MOC,85
Manchester United,2009-2010,18,Paul Scholes,,England,MC|MOC|MDC,84
Manchester United,2009-2010,16,Michael Carrick,,England,MC|MDC|DC,84
Manchester United,2009-2010,3,Patrice Evra,,France,DG|MG|DC,84
Manchester United,2009-2010,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,83
Manchester United,2009-2010,1,Edwin van der Sar,,Netherlands,G,83
Manchester United,2009-2010,4,Owen Hargreaves,,England,MDC|MC|DD,82
Manchester United,2009-2010,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,81
Manchester United,2009-2010,25,Antonio Valencia,,Ecuador,MD|DD,81
Manchester United,2009-2010,22,John O'Shea,,Republic of Ireland,DG|DC|DD,80
Manchester United,2009-2010,13,Park Ji-Sung,,Republic of Korea,MOC|MD|MG|AG|MC,80
Manchester United,2009-2010,8,Anderson,Anderson,Brazil,MOC|MC,80
Manchester United,2009-2010,7,Michael Owen,,England,BU|MOC|AD,79
Manchester United,2010-2011,20,Javier Hernandez,,Mexico,BU|MOC|AD,78
Manchester United,2010-2011,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,87
Manchester United,2010-2011,5,Rio Ferdinand,,England,DC|DD|MDC,84
Manchester United,2010-2011,15,Nemanja Vidic,,Serbia,DC|DD|MDC,88
Manchester United,2010-2011,18,Paul Scholes,,England,MC|MOC|MDC,83
Manchester United,2010-2011,16,Michael Carrick,,England,MC|MDC|DC,82
Manchester United,2010-2011,3,Patrice Evra,,France,DG|MG|DC,84
Manchester United,2010-2011,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,82
Manchester United,2010-2011,1,Edwin van der Sar,,Netherlands,G,84
Manchester United,2010-2011,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,84
Manchester United,2010-2011,25,Antonio Valencia,,Ecuador,MD|DD,83
Manchester United,2010-2011,22,John O'Shea,,Republic of Ireland,DG|DC|DD,78
Manchester United,2010-2011,13,Park Ji-Sung,,Republic of Korea,MOC|MD|MG|AG|MC,80
Manchester United,2010-2011,8,Anderson,Anderson,Brazil,MOC|MC,79
Manchester United,2010-2011,6,Jonny Evans,,Northern Ireland,DC|DD|DG|MDC,76
Manchester United,2010-2011,21,Rafael,Rafael,Brazil,DD|MD|DG,78
Manchester United,2011-2012,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,88
Manchester United,2011-2012,15,Nemanja Vidic,,Serbia,DC|DD|MDC,89
Manchester United,2011-2012,5,Rio Ferdinand,,England,DC|DD|MDC,83
Manchester United,2011-2012,16,Michael Carrick,,England,MC|MDC|DC,82
Manchester United,2011-2012,3,Patrice Evra,,France,DG|MG|DC,85
Manchester United,2011-2012,11,Ryan Giggs,,Wales,MG|AG|MC|MOC|MD,81
Manchester United,2011-2012,1,David De Gea,,Spain,G,79
Manchester United,2011-2012,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,86
Manchester United,2011-2012,25,Antonio Valencia,,Ecuador,MD|DD,82
Manchester United,2011-2012,4,Phil Jones,,England,DC|DD|MDC,76
Manchester United,2011-2012,6,Jonny Evans,,Northern Ireland,DC|DD|DG|MDC,78
Manchester United,2011-2012,21,Rafael,Rafael,Brazil,DD|MD|DG,79
Manchester United,2011-2012,8,Anderson,Anderson,Brazil,MOC|MC,79
Manchester United,2011-2012,20,Javier Hernandez,,Mexico,BU|MOC|AD,80
Manchester United,2011-2012,14,Chris Smalling,,England,DC|DD|MDC,76
Manchester United,2012-2013,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,87
Manchester United,2012-2013,15,Nemanja Vidic,,Serbia,DC|DD|MDC,87
Manchester United,2012-2013,16,Michael Carrick,,England,MC|MDC|DC,83
Manchester United,2012-2013,3,Patrice Evra,,France,DG|MG|DC,84
Manchester United,2012-2013,1,David De Gea,,Spain,G,81
Manchester United,2012-2013,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,84
Manchester United,2012-2013,25,Antonio Valencia,,Ecuador,MD|DD,83
Manchester United,2012-2013,21,Rafael,Rafael,Brazil,DD|MD|DG,80
Manchester United,2012-2013,8,Anderson,Anderson,Brazil,MOC|MC,78
Manchester United,2012-2013,20,Robin van Persie,,Netherlands,BU|AG|MOC,90
Manchester United,2012-2013,14,Chris Smalling,,England,DC|DD|MDC,78
Manchester United,2012-2013,4,Phil Jones,,England,DC|DD|MDC,79
Manchester United,2012-2013,6,Jonny Evans,,Northern Ireland,DC|DD|DG|MDC,80
Manchester United,2012-2013,31,Nick Powell,,England,MOC,71
Manchester United,2012-2013,18,Ashley Young,,England,MG|DD|AG|AD|MD|DG,82
Manchester United,2012-2013,27,Alexander Buttner,,Netherlands,DG,74
Manchester United,2013-2014,10,Wayne Rooney,,England,BU|MOC|MC|AD|AG,88
Manchester United,2013-2014,20,Robin van Persie,,Netherlands,BU|AG|MOC,89
Manchester United,2013-2014,16,Michael Carrick,,England,MC|MDC|DC,83
Manchester United,2013-2014,1,David De Gea,,Spain,G,83
Manchester United,2013-2014,17,Nani,Nani,Portugal,MG|AG|AD|MD|MOC,82
Manchester United,2013-2014,25,Antonio Valencia,,Ecuador,MD|DD,82
Manchester United,2013-2014,21,Rafael,Rafael,Brazil,DD|MD|DG,80
Manchester United,2013-2014,18,Ashley Young,,England,MG|DD|AG|AD|MD|DG,80
