Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Newcastle United,2004-2005,1,Shay Given,,Republic of Ireland,G,91
Newcastle United,2004-2005,2,Stephen Carr,,Republic of Ireland,DD,78
Newcastle United,2004-2005,3,Robbie Elliott,,England,DG,69
Newcastle United,2004-2005,4,Nicky Butt,,England,MC|MDC,82
Newcastle United,2004-2005,5,Andy O'Brien,,Republic of Ireland,DC,72
Newcastle United,2004-2005,6,Jean-Alain Boumsong,,France,DC,78
Newcastle United,2004-2005,7,Jermaine Jenas,,England,MC|MOC,80
Newcastle United,2004-2005,8,Kieron Dyer,,England,MD|MOC|MC,88
Newcastle United,2004-2005,9,Alan Shearer,,England,BU,88
Newcastle United,2004-2005,10,Craig Bellamy,,Wales,BU|AG,84
Newcastle United,2004-2005,11,Patrick Kluivert,,Netherlands,BU,82
Newcastle United,2004-2005,12,Steve Harper,,England,G,73
Newcastle United,2004-2005,14,Charles N'Zogbia,,France,MG|AG,61
Newcastle United,2004-2005,15,Amdy Faye,,Senegal,MDC,70
Newcastle United,2004-2005,16,James Milner,,England,MD|AD,77
Newcastle United,2004-2005,17,Darren Ambrose,,England,MC,57
Newcastle United,2004-2005,18,Aaron Hughes,,Northern Ireland,DC,73
Newcastle United,2004-2005,19,Titus Bramble,,England,DC,76
Newcastle United,2004-2005,23,Shola Ameobi,,Nigeria,BU,78
Newcastle United,2004-2005,27,Steven Taylor,,England,DC,67
Newcastle United,2004-2005,29,Lee Bowyer,,England,MC,81
Newcastle United,2004-2005,32,Laurent Robert,,France,AG|MG,82
Newcastle United,2004-2005,33,Celestine Babayaro,,Nigeria,DG,71
Newcastle United,2005-2006,1,Shay Given,,Republic of Ireland,G,87
Newcastle United,2005-2006,12,Steve Harper,,England,G,78
Newcastle United,2005-2006,2,Stephen Carr,,Republic of Ireland,DD,77
Newcastle United,2005-2006,3,Robbie Elliott,,England,DG,70
Newcastle United,2005-2006,6,Jean-Alain Boumsong,,France,DC,81
Newcastle United,2005-2006,18,Craig Moore,,Australia,DC,77
Newcastle United,2005-2006,19,Titus Bramble,,England,DC,77
Newcastle United,2005-2006,26,Peter Ramage,,England,DC,68
Newcastle United,2005-2006,27,Steven Taylor,,England,DC,70
Newcastle United,2005-2006,33,Celestine Babayaro,,Nigeria,DG,77
Newcastle United,2005-2006,4,Nolberto Solano,,Peru,MD|DD,74
Newcastle United,2005-2006,5,Emre Belozoglu,Emre,Turkey,MOC|MC|MG,80
Newcastle United,2005-2006,8,Kieron Dyer,,England,MD|MC|MOC,84
Newcastle United,2005-2006,11,Lee Bowyer,,England,MC,80
Newcastle United,2005-2006,14,Charles N'Zogbia,,France,MG|AG,69
Newcastle United,2005-2006,15,Amdy Faye,,Senegal,MDC,77
Newcastle United,2005-2006,17,Scott Parker,,England,MC,83
Newcastle United,2005-2006,21,Lee Clark,,England,MC,61
Newcastle United,2005-2006,9,Alan Shearer,,England,BU,88
Newcastle United,2005-2006,10,Michael Owen,,England,BU,84
Newcastle United,2005-2006,20,Albert Luque,,Spain,AG|MG,68
Newcastle United,2005-2006,23,Shola Ameobi,,Nigeria,BU,79
Newcastle United,2005-2006,28,Michael Chopra,,England,BU,59
Newcastle United,2006-2007,1,Shay Given,,Republic of Ireland,G,83
Newcastle United,2006-2007,12,Steve Harper,,England,G,73
Newcastle United,2006-2007,2,Stephen Carr,,Republic of Ireland,DD,75
Newcastle United,2006-2007,4,Nolberto Solano,,Peru,MD|DD,80
Newcastle United,2006-2007,15,Oguchi Onyewu,,United States,DC,61
Newcastle United,2006-2007,18,Craig Moore,,Australia,DC,77
Newcastle United,2006-2007,19,Titus Bramble,,England,DC,75
Newcastle United,2006-2007,26,Peter Ramage,,England,DC,73
Newcastle United,2006-2007,27,Steven Taylor,,England,DC,79
Newcastle United,2006-2007,33,Celestine Babayaro,,Nigeria,DG,71
Newcastle United,2006-2007,34,Olivier Bernard,,France,DG,65
Newcastle United,2006-2007,5,Emre Belozoglu,Emre,Turkey,MOC|MC|MG,79
Newcastle United,2006-2007,8,Kieron Dyer,,England,MD|MC|MOC,76
Newcastle United,2006-2007,11,Damien Duff,,Republic of Ireland,AG|MG,81
Newcastle United,2006-2007,14,Charles N'Zogbia,,France,MG|AG,74
Newcastle United,2006-2007,16,James Milner,,England,MD|AD,76
Newcastle United,2006-2007,17,Scott Parker,,England,MC,81
Newcastle United,2006-2007,21,Lee Clark,,England,MC,68
Newcastle United,2006-2007,22,Nicky Butt,,England,MC|MDC,73
