Club,Saison,Numero,Joueur,Nationalite,Postes,Note
Nice,2015-2016,9,Hatem Ben Arfa,France,MOC|MD|AD,82
Nice,2015-2016,28,Valere Germain,France,AG,78
Nice,2015-2016,24,Mathieu Bodmer,France,DC,77
Nice,2015-2016,22,Nampalys Mendy,France,MDC,77
Nice,2015-2016,6,Jean Michael Seri,Cote d'Ivoire,MC,76
Nice,2015-2016,4,Paul Baysse,France,DC,75
Nice,2015-2016,14,Alassane Plea,France,BU|AG,75
Nice,2015-2016,29,Jeremy Pied,France,DG,74
Nice,2015-2016,20,Maxime Le Marchand,France,DC,74
Nice,2015-2016,23,Ricardo Pereira,Portugal,DD,74
Nice,2015-2016,25,Romain Genevois,France,DD,72
Nice,2015-2016,8,Mahamane Traore,Mali,MOC,72
Nice,2015-2016,13,Niklas Hult,Suede,MG,72
Nice,2015-2016,26,Vincent Koziello,France,MDC,72
Nice,2015-2016,10,Mickael Le Bihan,France,BU,71
Nice,2015-2016,1,Mouez Hassen,France,G,71
Nice,2015-2016,19,Wallyson Teixeira Mallmann,Bresil,MC,71
Nice,2015-2016,30,Yoan Cardinale,France,G,70
Nice,2015-2016,5,Kevin Gomis,France,DC,69
Nice,2015-2016,33,Olivier Boscagli,France,DC,69
Nice,2015-2016,18,Remi Walter,France,MC,68
Nice,2015-2016,16,Simon Pouplin,France,G,67
Nice,2015-2016,11,Said Benrahma,Algerie,MD,67
Nice,2015-2016,15,Alexandre Mendy,France,BU,66
Nice,2015-2016,7,Julien Vercauteren,Belgique,MG,65
Nice,2015-2016,38,Dorian Caddy,France,BU,64
Nice,2015-2016,3,Gautier Lloris,France,DC,63
Nice,2015-2016,12,Albert Rafetraniaina,France,MDC,62
Nice,2015-2016,36,Franck Honorat,France,BU,61
Nice,2015-2016,39,Romain Perraud,France,MC,60
Nice,2007-2008,12,Bakari Kone,Cote d'Ivoire,BU,79
Nice,2007-2008,14,Florent Balmont,France,MD,76
Nice,2007-2008,1,Hugo Lloris,France,G,75
Nice,2007-2008,11,Joseph-Desire Job,Cameroun,BU,74
Nice,2007-2008,8,David Hellebuyck,France,MG,74
Nice,2007-2008,4,Vincent Hognon,France,DC,74
Nice,2007-2008,22,Habib Bamogo,France,BU,73
Nice,2007-2008,13,Jacques Abardonado,France,DC,73
Nice,2007-2008,5,Cedric Kante,Mali,DG,72
Nice,2007-2008,10,Ederson,Bresil,MOC,72
Nice,2007-2008,9,Lilian Laslandes,France,BU,70
Nice,2007-2008,26,Cyril Rool,France,MG,68
Nice,2007-2008,2,Patrick Barul,France,DD,68
Nice,2007-2008,6,Olivier Echouafni,France,MDC,67
Nice,2007-2008,25,Onyekachi Apam,Nigeria,DC,66
Nice,2007-2008,16,Lionel Letizi,France,G,64
Nice,2007-2008,21,Mohamed Yahaya,Ghana,DC,63
Nice,2007-2008,30,Jeremie Moreau,France,G,60
Nice,2007-2008,15,Anthony Modeste,France,AD,59
Nice,2007-2008,32,Clement Dragon,France,MG,58
Nice,2007-2008,28,Mahamane Traore,Mali,MOC,57
Nice,2007-2008,33,Anthony Scaramozzino,France,DG,56
Nice,2007-2008,23,Drissa Diakite,Mali,MDC,55
Nice,2007-2008,18,Ismael Gace,France,DC,54
Nice,2007-2008,7,Derek Asamoah,Ghana,AD,50
Nice,2008-2009,8,David Hellebuyck,France,MC,75
Nice,2008-2009,27,Cyril Jeunechamp,France,DD,73
Nice,2008-2009,26,Cyril Rool,France,DG,72
Nice,2008-2009,7,Loic Remy,France,AD,72
Nice,2008-2009,15,Anthony Modeste,France,AD,72
Nice,2008-2009,14,Matt Moussilou,France,BU,71
Nice,2008-2009,4,Vincent Hognon,France,DC,71
Nice,2008-2009,22,Habib Bamogo,France,BU,70
Nice,2008-2009,24,Gerald Cid,France,DC,70
Nice,2008-2009,16,Lionel Letizi,France,G,69
Nice,2008-2009,5,Cedric Kante,Mali,DC,69
Nice,2008-2009,17,Emerse Fae,Cote d'Ivoire,MC,69
Nice,2008-2009,1,David Ospina,Colombie,G,69
Nice,2008-2009,6,Olivier Echouafni,France,MC,67
Nice,2008-2009,19,Joseph-Desire Job,Cameroun,BU,66
Nice,2008-2009,2,Patrick Barul,France,DD,66
Nice,2008-2009,25,Onyekachi Apam,Nigeria,DC,66
Nice,2008-2009,21,Chaouki Ben Saada,Tunisie,BU,65
Nice,2008-2009,13,Kafoumba Coulibaly,Cote d'Ivoire,MDC,63
Nice,2008-2009,11,Eric Mouloungui,Gabon,AG,62
Nice,2008-2009,18,Ismael Gace,France,DC,59
Nice,2008-2009,28,Mahamane Traore,Mali,MOC,57
Nice,2008-2009,30,Jeremie Moreau,France,G,55
Nice,2008-2009,23,Drissa Diakite,Mali,MDC,55
Nice,2010-2011,1,David Ospina,Colombie,G,76
Nice,2010-2011,28,Danijel Ljuboja,Serbie,BU,75
Nice,2010-2011,8,David Hellebuyck,France,MDG,74
Nice,2010-2011,26,Anthony Mounier,France,AG|MG,74
Nice,2010-2011,10,Mamadou Bagayoko,Mali,BU,73
Nice,2010-2011,21,Habib Bamogo,Burkina Faso,BU,73
Nice,2010-2011,14,Emerse Fae,Cote d'Ivoire,BU,73
Nice,2010-2011,16,Lionel Letizi,France,G,72
Nice,2010-2011,17,Chaouki Ben Saada,Tunisie,AD,72
Nice,2010-2011,27,Julien Sable,France,MDD,72
Nice,2010-2011,2,Renato Civelli,Argentine,DC|DD,72
Nice,2010-2011,6,Didier Digard,France,MDC,71
