Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Marseille,2007-2008,22,Samir Nasri,,France,MOC|MD|MC,84
Marseille,2007-2008,11,Mamadou Niang,,Senegal,BU|AG,82
Marseille,2007-2008,32,Gael Givet,,France,DC,81
Marseille,2007-2008,9,Djibril Cisse,,France,BU,79
Marseille,2007-2008,4,Julien Rodriguez,,France,DC,79
Marseille,2007-2008,23,Habib Beye,,Senegal,DC|DD,78
Marseille,2007-2008,19,Lorik Cana,,Albanie,MC|MDC,78
Marseille,2007-2008,3,Taye Ismaila Taiwo,,Nigeria,DG,78
Marseille,2007-2008,10,Boudewijn Zenden,,Pays-Bas,AG|MG,76
Marseille,2007-2008,7,Benoit Cheyrou,,France,MG|MC|MDC,76
Marseille,2007-2008,6,Karim Ziani,,Algerie,MD|MC,75
Marseille,2007-2008,1,Cedric Carrasso,,France,G,75
Marseille,2007-2008,24,Laurent Bonnart,,France,DD|DG,74
Marseille,2007-2008,5,Jacques Faty,,France,DC,74
Marseille,2007-2008,15,Ronald Zubar,,France,DC,74
Marseille,2007-2008,30,Steve Mandanda,,France,G,73
Marseille,2007-2008,28,Mathieu Valbuena,,France,MOC|MD|AG,73
Marseille,2007-2008,21,Matt Moussilou,,France,BU,71
Marseille,2007-2008,17,Modeste M'Bami,,Cameroun,MDC,70
Marseille,2007-2008,8,Wilson Oruma,,Nigeria,MDC|MOC,68
Marseille,2007-2008,13,Salim Arrache,,Algerie,MOC,68
Marseille,2007-2008,16,Sebastien Hamel,,France,G,67
Marseille,2007-2008,14,Leyti N'Diaye,,Senegal,DC,67
Marseille,2007-2008,18,Vincent Gragnic,,France,MC,65
Marseille,2007-2008,29,Andre Ayew,,Ghana,BU|MOC|AG|MG|MD,61
Marseille,2008-2009,11,Mamadou Niang,,Senegal,BU|AG,83
Marseille,2008-2009,30,Steve Mandanda,,France,G,83
Marseille,2008-2009,19,Lorik Cana,,Albanie,MC|MDC,81
Marseille,2008-2009,14,Bakari Kone,,Cote d'Ivoire,AD|BU,80
Marseille,2008-2009,20,Hatem Ben Arfa,,France,AG|AD,79
Marseille,2008-2009,5,Hilton,Hilton,Bresil,DC,78
Marseille,2008-2009,7,Benoit Cheyrou,,France,MG|MC|MDC,77
Marseille,2008-2009,24,Laurent Bonnart,,France,DD|DG,76
