Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
PSG,2004-2005,6,Mario Yepes,,Colombie,DC,87
PSG,2004-2005,25,Jérôme Rothen,,France,MG,83
PSG,2004-2005,9,Pauleta,Pauleta,Portugal,BU,83
PSG,2004-2005,22,Sylvain Armand,,France,DG,81
PSG,2004-2005,28,Danijel Ljuboja,,Serbie,BU,80
PSG,2004-2005,24,José Karl Pierre-Fanfan,,France,DC,80
PSG,2004-2005,16,Jérôme Alonzo,,France,G,78
PSG,2004-2005,1,Lionel Letizi,,France,G,77
PSG,2004-2005,20,Hélder,Hélder,Portugal,DC,77
PSG,2004-2005,5,Bernard Mendy,,France,DD,76
PSG,2004-2005,2,Stéphane Pichot,,France,DD,75
PSG,2004-2005,23,Modeste M'Bami,,Cameroun,MC|MDC,75
PSG,2004-2005,12,Bartholomew Ogbeche,,Nigeria,BU,74
PSG,2004-2005,18,Selim Benachour,,Tunisie,MG,74
PSG,2004-2005,11,Fabrice Fiorèse,,France,MD,73
PSG,2004-2005,19,Lorik Cana,,Albanie,MDC,73
PSG,2004-2005,14,Edouard Cissé,,France,MD|MDC|MC,72
PSG,2004-2005,17,Jean-Hugues Ateba Bilayi,,Cameroun,DG,72
PSG,2004-2005,10,Branko Boskovic,,Serbie,MDC,72
PSG,2004-2005,8,Reinaldo,Reinaldo,Bresil,BU,66
PSG,2004-2005,30,Mohamed Benhamou,,Algerie,G,65
PSG,2004-2005,27,Jean-Michel Badiane,,France,DC,64
PSG,2004-2005,21,Fabrice Pancrate,,France,BU,61
PSG,2004-2005,29,Felipe Teixeira,,Portugal,MC,61
PSG,2004-2005,15,Vedad Ibisevic,,Bosnie-Herzegovine,BU,51
PSG,2005-2006,25,Jérôme Rothen,,France,MG,86
PSG,2005-2006,6,Mario Yepes,,Colombie,DC,86
PSG,2005-2006,9,Pauleta,Pauleta,Portugal,BU,85
PSG,2005-2006,15,Bonaventure Kalou,,Cote d'Ivoire,BU,84
PSG,2005-2006,1,Lionel Letizi,,France,G,83
PSG,2005-2006,16,Jérôme Alonzo,,France,G,82
PSG,2005-2006,10,Vikash Dhorasoo,,France,MC,81
PSG,2005-2006,28,Danijel Ljuboja,,Serbie,BU,79
PSG,2005-2006,22,Sylvain Armand,,France,DG,79
PSG,2005-2006,24,Christophe Landrin,,France,MD,78
PSG,2005-2006,4,David Rozehnal,,Tchequie,DC,78
PSG,2005-2006,23,Modeste M'Bami,,Cameroun,MC|MDC,76
