Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Lens,2007-2008,8,Bonaventure Kalou,,Cote d'Ivoire,MC|MOC|BU|AD,82
Lens,2007-2008,27,Aruna Dindane,,Cote d'Ivoire,BU|AG|MOC,82
Lens,2007-2008,3,Hilton,Hilton,Bresil,DC|DD,81
Lens,2007-2008,18,Olivier Monterrubio,,France,AG|MG|MOC|BU,80
Lens,2007-2008,11,Kanga Akale,,Cote d'Ivoire,AD|AG|MC|MG|MOC,80
Lens,2007-2008,4,Adama Coulibaly,,Mali,DD|DG|DC,76
Lens,2007-2008,28,Julien Sable,,France,MC|MDC,76
Lens,2007-2008,1,Vedran Runje,,Croatie,G,75
Lens,2007-2008,10,Eric Carriere,,France,MOC|MC|MDC|MG,75
Lens,2007-2008,26,Yohan Demont,,France,DD|AD,75
Lens,2007-2008,23,Nenad Kovacevic,,Serbie,MDC|MC,74
Lens,2007-2008,16,Ronan Le Crom,,France,G,72
Lens,2007-2008,15,Fabien Laurenti,,France,DD,71
Lens,2007-2008,9,Luigi Pieroni,,Belgique,BU,71
Lens,2007-2008,25,Milan Bisevac,,Serbie,DC,71
Lens,2007-2008,21,Sidi Yaya Keita,,Mali,MC|MDC,68
Lens,2007-2008,7,Razak Boukari,,France,BU,68
Lens,2007-2008,19,Lucien Aubey,,Congo,DG,66
Lens,2007-2008,35,Seid Khiter,,France,AD,66
Lens,2007-2008,22,Jonathan Lacourt,,France,MC,66
Lens,2007-2008,2,Marco Ramos,,Portugal,DG,65
Lens,2007-2008,32,Mounir Diane,,Maroc,MC,64
Lens,2007-2008,14,Kevin Monnet-Paquet,,France,AD|BU,61
Lens,2007-2008,41,David Pollet,,Belgique,BU|AD,55
Lens,2007-2008,20,Adil Hermach,,France,MC|MDC,50
Lens,2006-2007,8,Seydou Keita,,Mali,MC|MDC|MOC|MD,80
Lens,2006-2007,30,Charles Itandje,,France,G,80
Lens,2006-2007,3,Hilton,Hilton,Bresil,DC|DD,80
Lens,2006-2007,27,Aruna Dindane,,Cote d'Ivoire,BU|AG|MOC,78
Lens,2006-2007,18,Olivier Thomert,,France,MG|MD|AD|AG,78
Lens,2006-2007,9,Daniel Cousin,,Gabon,BU,78
Lens,2006-2007,11,Jussie,Jussie,Bresil,MD|BU|AD|AG,78
Lens,2006-2007,4,Adama Coulibaly,,Mali,DD|DG|DC,76
Lens,2006-2007,10,Eric Carriere,,France,MOC|MC|MDC|MG,76
Lens,2006-2007,26,Yohan Demont,,France,DD|AD,75
Lens,2006-2007,24,Gregory Vignal,,France,DG,74
Lens,2006-2007,21,Sidi Yaya Keita,,Mali,MC|MDC,74
Lens,2006-2007,1,Sebastien Chabbert,,France,G,72
Lens,2006-2007,5,Nicolas Gillet,,France,DC,72
Lens,2006-2007,7,Razak Boukari,,France,BU,70
Lens,2006-2007,22,Issam Jemaa,,Tunisie,BU,69
Lens,2006-2007,34,Patrick Barul,,France,DC,68
Lens,2006-2007,13,Jonathan Lacourt,,France,MC,66
Lens,2006-2007,20,Mounir Diane,,Maroc,MC,63
Lens,2006-2007,36,Daouda Jabi,,Guinee,DD,61
Lens,2006-2007,32,Marco Ramos,,Portugal,DG,59
Lens,2006-2007,25,Simon Feindouno,,Guinee,MC,58
Lens,2006-2007,14,Kevin Monnet-Paquet,,France,AD|BU,52
Lens,2005-2006,10,Eric Carriere,,France,MOC|MC|MDC|MG,82
Lens,2005-2006,30,Charles Itandje,,France,G,81
Lens,2005-2006,5,Nicolas Gillet,,France,DC,79
Lens,2005-2006,8,Seydou Keita,,Mali,MC|MDC|MOC|MD,78
Lens,2005-2006,18,Olivier Thomert,,France,MG|MD|AD|AG,78
Lens,2005-2006,3,Hilton,Hilton,Bresil,DC|DD,77
Lens,2005-2006,7,Jerome Leroy,,France,MC|MD|MOC|BU,75
Lens,2005-2006,27,Aruna Dindane,,Cote d'Ivoire,BU|AG|MOC,75
Lens,2005-2006,23,Alou Diarra,,France,MDC,73
Lens,2005-2006,15,Yoann Lachor,,France,DG|DC,72
Lens,2005-2006,9,Daniel Cousin,,Gabon,BU,72
Lens,2005-2006,4,Adama Coulibaly,,Mali,DD|DG|DC,71
Lens,2005-2006,13,Mounir Diane,,Maroc,MC,71
Lens,2005-2006,32,Benoit Assou-Ekotto,,France,DG,70
Lens,2005-2006,26,Yohan Demont,,France,DD|AD,69
Lens,2005-2006,22,Issam Jemaa,,Tunisie,BU,68
Lens,2005-2006,1,Sebastien Chabbert,,France,G,67
Lens,2005-2006,34,Patrick Barul,,France,DC,67
Lens,2005-2006,11,Jussie,Jussie,Bresil,MD|BU|AD|AG,65
Lens,2005-2006,16,Niki Maenpaa,,Finlande,G,63
Lens,2005-2006,33,Mathieu Bucher,,France,BU,62
Lens,2005-2006,36,Martin Ekani,,France,DC,61
Lens,2005-2006,14,Jonathan Martins Pereira,,France,DC,60
Lens,2004-2005,10,Eric Carriere,,France,MOC|MC|MDC|MG,84
Lens,2004-2005,30,Charles Itandje,,France,G,82
Lens,2004-2005,5,Nicolas Gillet,,France,DC,79
Lens,2004-2005,8,Seydou Keita,,Mali,MC|MDC|MOC|MD,78
Lens,2004-2005,7,Jerome Leroy,,France,MC|MD|MOC|BU,77
Lens,2004-2005,18,Olivier Thomert,,France,MG|MD|AD|AG,77
Lens,2004-2005,3,Hilton,Hilton,Bresil,DC|DD,77
Lens,2004-2005,6,Jacek Bak,,Pologne,DC|MDC,76
Lens,2004-2005,9,Daniel Cousin,,Gabon,BU,75
Lens,2004-2005,15,Yoann Lachor,,France,DG|DC,74
Lens,2004-2005,21,John Utaka,,Nigeria,BU|AD|AG,74
Lens,2004-2005,23,Alou Diarra,,France,MDC,71
Lens,2004-2005,4,Adama Coulibaly,,Mali,DD|DG|DC,70
Lens,2004-2005,11,Pape Sarr,,Senegal,MDC,69
Lens,2004-2005,20,Dagui Bakari,,Cote d'Ivoire,BU,68
Lens,2004-2005,14,Eric Cubilier,,France,DD,68
Lens,2004-2005,1,Sebastien Chabbert,,France,G,67
Lens,2004-2005,34,Patrick Barul,,France,DC,66
Lens,2004-2005,13,Mounir Diane,,Maroc,MC,66
Lens,2004-2005,16,Niki Maenpaa,,Finlande,G,63
Lens,2004-2005,27,Daouda Jabi,,Guinee,DD,62
Lens,2004-2005,32,Bouabid Bouden,,Maroc,BU,62
Lens,2004-2005,29,Benoit Assou-Ekotto,,France,DG,60
Lens,2004-2005,31,Matar Coly,,Senegal,BU,59
Lens,2004-2005,22,Yazid Kaissi,,France,MOC,49
Lens,2008-2009,27,Aruna Dindane,,Cote d'Ivoire,BU|AG|MOC,77
Lens,2008-2009,23,Nenad Kovacevic,,Serbie,MDC|MC,75
Lens,2008-2009,1,Vedran Runje,,Croatie,G,73
Lens,2008-2009,9,Toifilou Maoulida,,France,AD,72
Lens,2008-2009,25,Julien Sable,,France,MC|MDC,72
Lens,2008-2009,24,Eric Chelle,,Mali,DD|DG,69
Lens,2008-2009,18,Sebastien Roudet,,France,MC|AG|MG,68
Lens,2008-2009,26,Yohan Demont,,France,DD|AD,68
Lens,2008-2009,12,Alaeddine Yahia,,Tunisie,DD|DC,67
Lens,2008-2009,4,Romain Sartre,,France,DD|DC,67
Lens,2008-2009,8,Geoffrey Doumeng,,France,MC|MOC,67
