Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Real Madrid,2004-2005,1,Iker Casillas,,Spain,G,89
Real Madrid,2004-2005,25,César Sánchez,César,Spain,G,79
Real Madrid,2004-2005,2,Míchel Salgado,,Spain,DD|MD,83
Real Madrid,2004-2005,3,Roberto Carlos,,Brazil,DG|MG,88
Real Madrid,2004-2005,6,Iván Helguera,,Spain,DC|MDC|MC,85
Real Madrid,2004-2005,21,Francisco Pavón,,Spain,DC|DD,78
Real Madrid,2004-2005,22,Walter Samuel,,Argentina,DC|DD,85
Real Madrid,2004-2005,24,Álvaro Mejía,,Spain,DC|DG,76
Real Madrid,2004-2005,4,Jonathan Woodgate,,England,DC|DD,82
Real Madrid,2004-2005,5,Zinedine Zidane,,France,MOC|MC|MG,94
Real Madrid,2004-2005,23,David Beckham,,England,MD|MC|AD,90
Real Madrid,2004-2005,10,Luís Figo,,Portugal,AD|MD|MOC,90
Real Madrid,2004-2005,14,Guti,,Spain,MOC|MC|MG,85
Real Madrid,2004-2005,16,Thomas Gravesen,,Denmark,MDC|MC,80
Real Madrid,2004-2005,18,Santiago Solari,,Argentina,MG|AG|MOC,81
Real Madrid,2004-2005,20,Rubén de la Red,,Spain,MC|MDC,72
Real Madrid,2004-2005,9,Ronaldo,,Brazil,BU|MOC|AD,93
Real Madrid,2004-2005,7,Raúl,,Spain,BU|MOC|AG,90
Real Madrid,2004-2005,11,Michael Owen,,England,BU|MOC|AD,86
Real Madrid,2004-2005,17,Javier Portillo,,Spain,BU|AD,75
Real Madrid,2005-2006,1,Iker Casillas,,Spain,G,90
Real Madrid,2005-2006,25,Diego López,,Spain,G,74
Real Madrid,2005-2006,2,Míchel Salgado,,Spain,DD|MD,82
Real Madrid,2005-2006,3,Roberto Carlos,,Brazil,DG|MG,86
Real Madrid,2005-2006,4,Sergio Ramos,,Spain,DC|DD|MDC,80
Real Madrid,2005-2006,6,Iván Helguera,,Spain,DC|MDC|MC,83
Real Madrid,2005-2006,21,Francisco Pavón,,Spain,DC|DD,77
Real Madrid,2005-2006,24,Álvaro Mejía,,Spain,DC|DG,76
Real Madrid,2005-2006,22,Jonathan Woodgate,,England,DC|DD,81
Real Madrid,2005-2006,15,Carlos Diogo,,Uruguay,DD|MD|DC,74
Real Madrid,2005-2006,5,Zinedine Zidane,,France,MOC|MC|MG,92
Real Madrid,2005-2006,23,David Beckham,,England,MD|MC|AD,89
Real Madrid,2005-2006,14,Guti,,Spain,MOC|MC|MG,85
Real Madrid,2005-2006,16,Thomas Gravesen,,Denmark,MDC|MC,80
Real Madrid,2005-2006,18,Santiago Solari,,Argentina,MG|AG|MOC,80
Real Madrid,2005-2006,19,Pablo García,,Uruguay,MDC|MC,77
Real Madrid,2005-2006,8,Júlio Baptista,,Brazil,MC|MOC|BU,84
Real Madrid,2005-2006,10,Robinho,,Brazil,AG|AD|MOC,84
Real Madrid,2005-2006,9,Ronaldo,,Brazil,BU|MOC|AD,91
Real Madrid,2005-2006,7,Raúl,,Spain,BU|MOC|AG,88
