Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Rennes,2025-2026,48,Abdelhamid Ait Boudlal,,Maroc,DC,71
Rennes,2005-2006,3,Abdeslam Ouaddou,,Maroc,DC,74
Rennes,2004-2005,3,Abdeslam Ouaddou,,Maroc,DC,72
Rennes,2010-2011,32,Abdoul Camara,,France,BU,60
Rennes,2018-2019,16,Abdoulaye Diallo,,Senegal,G,71
Rennes,2017-2018,1,Abdoulaye Diallo,,Senegal,G,70
Rennes,2015-2016,40,Abdoulaye Diallo,,Senegal,G,69
Rennes,2013-2014,16,Abdoulaye Diallo,,France,G,66
Rennes,2012-2013,16,Abdoulaye Diallo,,France,G,66
Rennes,2011-2012,16,Abdoulaye Diallo,,France,G,66
Rennes,2010-2011,40,Abdoulaye Diallo,,France,G,57
Rennes,2015-2016,8,Abdoulaye Doucoure,,France,MDC|MC|MOC,73
Rennes,2014-2015,8,Abdoulaye Doucoure,,France,MDC|MC|MOC,70
Rennes,2013-2014,28,Abdoulaye Doucoure,,France,MDC|MC|MOC,69
Rennes,2012-2013,35,Abdoulaye Doucoure,,France,MDC|MC|MOC,61
Rennes,2011-2012,35,Abdoulaye Doucoure,,France,MDC|MC|MOC,55
Rennes,2011-2012,12,Abdoulrazak Boukari,,France,BU,71
Rennes,2004-2005,4,Adailton,Adailton,Bresil,DD|DC,79
Rennes,2005-2006,4,Adailton,Adailton,Bresil,DD|DC,78
Rennes,2006-2007,4,Adailton,Adailton,Bresil,DD|DC,73
Rennes,2019-2020,23,Adrien Hunou,,France,BU|MG,76
Rennes,2018-2019,23,Adrien Hunou,,France,BU|MG,73
Rennes,2020-2021,23,Adrien Hunou,,France,BU|MG,73
Rennes,2017-2018,23,Adrien Hunou,,France,BU|MG,70
Rennes,2014-2015,19,Adrien Hunou,,France,BU|MG,65
Rennes,2013-2014,18,Adrien Hunou,,France,BU|MG,65
Rennes,2023-2024,3,Adrien Truffert,,France,DG,77
Rennes,2024-2025,3,Adrien Truffert,,France,DG,77
Rennes,2022-2023,3,Adrien Truffert,,France,DG,76
Rennes,2021-2022,3,Adrien Truffert,,France,DG,74
Rennes,2020-2021,31,Adrien Truffert,,France,DG,73
Rennes,2016-2017,25,Afonso Rebeiro Figueiredo,,Portugal,DG,75
Rennes,2017-2018,25,Afonso Rebeiro Figueiredo,,Portugal,DG,71
Rennes,2005-2006,21,Alain Rochat,,Suisse,DG,75
Rennes,2005-2006,23,Alexander Frei,,Suisse,BU,83
Rennes,2004-2005,23,Alexander Frei,,Suisse,BU,81
Rennes,2009-2010,4,Alexander Tettey,,Norvege,MDC|MC,74
Rennes,2011-2012,6,Alexander Tettey,,Norvege,MDC|MC,72
Rennes,2010-2011,6,Alexander Tettey,,Norvege,MDC|MC,72
Rennes,2020-2021,16,Alfred Gomis,,Senegal,G,77
Rennes,2021-2022,16,Alfred Gomis,,Senegal,G,77
Rennes,2025-2026,36,Alidu Seidu,,Ghana,DC|DD,74
Rennes,2024-2025,36,Alidu Seidu,,Ghana,DC|DD,74
