Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Tottenham Hotspur,2004-2005,10,Robbie Keane,,Republic of Ireland,BU|MOC|AG,83
Tottenham Hotspur,2004-2005,13,Kasey Keller,,United States,G,82
Tottenham Hotspur,2004-2005,18,Jermain Defoe,,England,BU|MOC|AD,82
Tottenham Hotspur,2004-2005,9,Frédéric Kanouté,,Mali,BU|AG|MOC,80
Tottenham Hotspur,2004-2005,1,Paul Robinson,,England,G,80
Tottenham Hotspur,2004-2005,2,Nourredine Naybet,,Morocco,DC|DD|MDC,78
Tottenham Hotspur,2004-2005,26,Ledley King,,England,DC|DD|MDC,78
Tottenham Hotspur,2004-2005,8,Pedro Mendes,,Portugal,MC|MD,77
Tottenham Hotspur,2004-2005,4,Sean Davis,,England,MC,76
Tottenham Hotspur,2004-2005,24,Thimothée Atouba,,Cameroon,MG,76
Tottenham Hotspur,2004-2005,15,Jamie Redknapp,,England,MC,76
Tottenham Hotspur,2004-2005,21,Mbulelo Mabizela,,South Africa,DC,76
Tottenham Hotspur,2004-2005,23,Michael Carrick,,England,MC|MDC|DC,75
Tottenham Hotspur,2004-2005,7,Simon Davies,,Wales,MD,75
Tottenham Hotspur,2004-2005,30,Anthony Gardner,,England,DC|DG,75
Tottenham Hotspur,2004-2005,27,Rohan Ricketts,,England,MC,75
Tottenham Hotspur,2004-2005,17,Noé Pamarot,,France,DD,74
Tottenham Hotspur,2004-2005,6,Dean Richards,,England,DC,72
Tottenham Hotspur,2004-2005,11,Michael Brown,,England,MC,72
Tottenham Hotspur,2004-2005,32,Johnnie Jackson,,England,MG,71
Tottenham Hotspur,2004-2005,14,Erik Edman,,Sweden,DG,70
Tottenham Hotspur,2004-2005,12,Calum Davenport,,England,DC,70
Tottenham Hotspur,2004-2005,20,Edson Ronaldo Silva Sousa,,Portugal,BU,70
Tottenham Hotspur,2004-2005,29,Philip Ifil,,England,DD,70
Tottenham Hotspur,2004-2005,3,Mauricio Taricco,,Argentina,DG,66
Tottenham Hotspur,2005-2006,1,Paul Robinson,,England,G,87
Tottenham Hotspur,2005-2006,5,Edgar Davids,,Netherlands,MC|MG|MDC|MOC,84
Tottenham Hotspur,2005-2006,18,Jermain Defoe,,England,BU|MOC|AD,84
Tottenham Hotspur,2005-2006,10,Robbie Keane,,Republic of Ireland,BU|MOC|AG,82
Tottenham Hotspur,2005-2006,26,Ledley King,,England,DC|DD|MDC,82
Tottenham Hotspur,2005-2006,2,Nourredine Naybet,,Morocco,DC|DD|MDC,80
Tottenham Hotspur,2005-2006,23,Michael Carrick,,England,MC|MDC|DC,80
Tottenham Hotspur,2005-2006,19,Andy Reid,,Republic of Ireland,MG|MOC|MC|AG,78
Tottenham Hotspur,2005-2006,8,Pedro Mendes,,Portugal,MC|MD,77
Tottenham Hotspur,2005-2006,6,Teemu Tainio,,Finland,MC,76
Tottenham Hotspur,2005-2006,21,Wayne Routledge,,England,MD,76
Tottenham Hotspur,2005-2006,15,Mido,Mido,Egypt,BU,75
Tottenham Hotspur,2005-2006,4,Sean Davis,,England,MC,75
Tottenham Hotspur,2005-2006,17,Noé Pamarot,,France,DD,74
Tottenham Hotspur,2005-2006,11,Michael Brown,,England,MC,74
